url,state,city,years,manufacturer,model,price,condition,cylinders,fuel,odometer,title_status,transmission,VIN,drive,size,vehicle_type,paint_color,image_url
https://losangeles.craigslist.org/sgv/cto/d/monrovia-2007-bmw-328i/7234566495.html,ca,los angeles,2007,bmw,328i,3900,,,gas,,clean,automatic,,,,,,https://images.craigslist.org/00F0F_7DhL9xPDWL0_0CI0t2_600x450.jpg
https://losangeles.craigslist.org/lgb/cto/d/long-beach-2005-infinity-fx35/7234566065.html,ca,los angeles,2005,infiniti,fx35,6000,,,gas,,clean,automatic,,,,,,https://images.craigslist.org/00P0P_ariWzdpPEuA_0CI0t2_600x450.jpg
https://losangeles.craigslist.org/lgb/ctd/d/irvine-2009-bmw-328i-sedan-clean-title/7234565953.html,ca,los angeles,2009,bmw,328i,5997,good,6 cylinders,gas,148000,clean,automatic,,rwd,compact,sedan,white,https://images.craigslist.org/00n0n_igD8QQub2JO_0CI0t2_600x450.jpg
https://losangeles.craigslist.org/lgb/cto/d/long-beach-2009-lexus-rx350/7234565395.html,ca,los angeles,2009,lexus,rx 350,7500,,,gas,,clean,automatic,,,,,,https://images.craigslist.org/01111_47zkZDiqjMR_0CI0t2_600x450.jpg
https://losangeles.craigslist.org/sfv/cto/d/santa-clarita-2007-honda-civic-ex-navi/7234565068.html,ca,los angeles,2007,honda,civic ex sedan,5800,excellent,4 cylinders,gas,184000,clean,automatic,,fwd,,sedan,grey,https://images.craigslist.org/00P0P_IhACBgYzDW_0CI0t2_600x450.jpg
https://losangeles.craigslist.org/lgb/cto/d/long-beach-2013-toyota-corolla-le/7234564904.html,ca,los angeles,2013,toyota,corolla,6500,,,gas,116000,clean,automatic,,,,,,https://images.craigslist.org/00X0X_eWVZFceymHZ_0CI0t2_600x450.jpg
https://losangeles.craigslist.org/sfv/cto/d/panorama-city-toyota-prius-clean-title/7234564833.html,ca,los angeles,2006,toyota,prius,4950,excellent,4 cylinders,hybrid,168100,clean,automatic,JTDKB20UX67539758,,,,,https://images.craigslist.org/00I0I_cqNZgslXg8K_0CI0t2_600x450.jpg
https://losangeles.craigslist.org/sgv/ctd/d/north-hollywood-2013-hyundai-sonata/7234564828.html,ca,los angeles,2013,hyundai,sonata gls,5999,like new,4 cylinders,gas,134300,clean,automatic,,fwd,full-size,sedan,blue,https://images.craigslist.org/00T0T_bLeGfhTYd4T_0CI0t2_600x450.jpg
https://losangeles.craigslist.org/sfv/cto/d/northridge-1978-fiat-124-spider/7234564675.html,ca,los angeles,1978,fiat,124 spider,5500,good,4 cylinders,gas,97050,clean,manual,,rwd,,convertible,yellow,https://images.craigslist.org/00b0b_i1LZfyQL6sh_0t20CI_600x450.jpg
https://losangeles.craigslist.org/sfv/ctd/d/north-hollywood-2008-honda-civic-gx/7234564503.html,ca,los angeles,2008,honda,civic,5199,like new,4 cylinders,other,86500,clean,automatic,,fwd,full-size,sedan,green,https://images.craigslist.org/00U0U_dJKBRZsp0VE_0CI0t2_600x450.jpg
https://losangeles.craigslist.org/sgv/ctd/d/north-hollywood-vw-jetta-91k-miles/7234564252.html,ca,los angeles,2013,volkswagen,jetta,6999,like new,5 cylinders,gas,91700,clean,automatic,,fwd,full-size,sedan,grey,https://images.craigslist.org/00d0d_cRMJhgu1q0E_0CI0t2_600x450.jpg
https://losangeles.craigslist.org/lgb/ctd/d/irvine-2014-kia-forte-koup-ex-door/7234563929.html,ca,los angeles,2014,kia,forte koup ex,5497,good,4 cylinders,gas,127101,clean,automatic,,fwd,compact,coupe,black,https://images.craigslist.org/00K0K_8CZygVLIHwx_0CI0t2_600x450.jpg
https://losangeles.craigslist.org/sfv/ctd/d/north-hollywood-toyota-camry-v6-97k/7234563729.html,ca,los angeles,2007,toyota,camry,6499,like new,5 cylinders,gas,97600,clean,automatic,,fwd,full-size,sedan,red,https://images.craigslist.org/00808_37bArboFeGV_0CI0t2_600x450.jpg
https://losangeles.craigslist.org/wst/ctd/d/los-angeles-2010-honda-civic-coupe/7234563713.html,ca,los angeles,2010,honda,civic coupe,6700,excellent,4 cylinders,gas,169000,clean,automatic,,fwd,,,grey,https://images.craigslist.org/00707_cIL5ju9sY3i_0jm0ew_600x450.jpg
https://losangeles.craigslist.org/sgv/cto/d/pasadena-2014-vw-jetta-18t-grey/7234563625.html,ca,los angeles,2014,volkswagen,jetta,7499,excellent,4 cylinders,gas,97000,clean,automatic,,fwd,mid-size,sedan,grey,https://images.craigslist.org/00G0G_cnwumdHbyr9_0CI0ow_600x450.jpg
https://losangeles.craigslist.org/lac/cto/d/los-angeles-2005-pontiac-miles/7234563413.html,ca,los angeles,2005,pontiac,grand prix,499,fair,6 cylinders,gas,134000,clean,automatic,,fwd,mid-size,sedan,silver,https://images.craigslist.org/00I0I_4XLRKHzgo3j_0CI0hK_600x450.jpg
https://losangeles.craigslist.org/wst/ctd/d/irvine-2011-subaru-forester-premium-30/7234561593.html,ca,los angeles,2011,subaru,forester,6997,good,4 cylinders,gas,147000,clean,automatic,,4wd,compact,wagon,grey,https://images.craigslist.org/00G0G_gPoXTPv3oh9_0CI0t2_600x450.jpg
https://losangeles.craigslist.org/sfv/cto/d/panorama-city-nissan-murano-low-miles/7234561147.html,ca,los angeles,2009,nissan,murano,5950,excellent,,gas,131800,clean,automatic,JN8AZ18UX9W024456,,,,,https://images.craigslist.org/00Y0Y_lsVYHlYseKS_0CI0t2_600x450.jpg
https://losangeles.craigslist.org/sgv/cto/d/whittier-toyota-matrix-xr-sport-wagon/7234561076.html,ca,los angeles,2006,toyota,,2800,good,,gas,212000,clean,automatic,,,,,,https://images.craigslist.org/00s0s_jEKjG7yeMzQ_0k20eV_600x450.jpg
https://losangeles.craigslist.org/wst/ctd/d/irvine-2014-toyota-prius-plug-in/7234561003.html,ca,los angeles,2014,toyota,prius plug-in,7497,good,4 cylinders,hybrid,172000,clean,automatic,,fwd,compact,hatchback,blue,https://images.craigslist.org/00b0b_bzZYOAlsD7t_0CI0t2_600x450.jpg
https://losangeles.craigslist.org/ant/ctd/d/concord-1979-ferrari-308-gts-spyder/7234560822.html,ca,los angeles,1979,ferrari,308 gts last of the carbureted only 18k miles time capsule !!,58888,,other,gas,18260,clean,manual,30051,rwd,,coupe,black,https://images.craigslist.org/01111_eUZW0ZZ2iAk_0cU09G_600x450.jpg
https://losangeles.craigslist.org/ant/ctd/d/concord-1978-ferrari-308-dino-gt4/7234560811.html,ca,los angeles,1978,ferrari,308 dino gt4 coupe * classic *,58888,,other,gas,40671,clean,manual,13856,rwd,,coupe,silver,https://images.craigslist.org/00303_iNeBI1inSMo_0cU09G_600x450.jpg
https://losangeles.craigslist.org/lac/ctd/d/bellflower-2018-kia-sorento-lx-suv/7234560585.html,ca,los angeles,2018,kia,sorento lx,262,,4 cylinders,gas,29281,clean,automatic,5XYPG4A38JG368898,fwd,,SUV,,https://images.craigslist.org/00C0C_jMQeYfhcGei_0ag07K_600x450.jpg
https://losangeles.craigslist.org/lac/cto/d/norco-sale-2011-honda-civic-sedan-gas/7234560512.html,ca,los angeles,2011,honda,civic sedan,7600,excellent,4 cylinders,gas,50000,clean,automatic,,fwd,mid-size,sedan,grey,https://images.craigslist.org/00R0R_1ZmQKJ07ZTF_0CI0t2_600x450.jpg
https://losangeles.craigslist.org/wst/ctd/d/irvine-2015-toyota-prius-package-clean/7234560435.html,ca,los angeles,2015,toyota,prius,7587,good,4 cylinders,hybrid,176000,clean,automatic,,fwd,compact,hatchback,white,https://images.craigslist.org/01313_gX6YAxCSc8F_0CI0t2_600x450.jpg
https://losangeles.craigslist.org/sfv/ctd/d/van-nuys-2001-ford-f350-utility-service/7234560205.html,ca,los angeles,2001,ford,f350,6999,,,diesel,231500,clean,automatic,,,,,,https://images.craigslist.org/00J0J_jfjWGxVYpLQ_0CI0t2_600x450.jpg
https://losangeles.craigslist.org/sfv/cto/d/tujunga-1950-ford/7234560082.html,ca,los angeles,1950,ford,2dr sedan,11500,excellent,8 cylinders,gas,10000,clean,manual,9999999,rwd,mid-size,coupe,yellow,https://images.craigslist.org/00V0V_dQ17yfR3IrY_0CI0sV_600x450.jpg
https://losangeles.craigslist.org/wst/ctd/d/irvine-2012-mini-cooper-countryman-1/7234560009.html,ca,los angeles,2012,mini,cooper countryman s,6997,good,4 cylinders,gas,132000,clean,automatic,,fwd,compact,wagon,blue,https://images.craigslist.org/00Y0Y_eFD3adsQE9n_0CI0t2_600x450.jpg
https://losangeles.craigslist.org/wst/ctd/d/irvine-2012-audi-a4-avant-wagon-clean/7234559318.html,ca,los angeles,2012,audi,a4 avant,8497,good,4 cylinders,gas,128000,clean,automatic,,4wd,mid-size,wagon,grey,https://images.craigslist.org/00909_8DfjI6wOa2k_0bM07L_600x450.jpg
https://losangeles.craigslist.org/wst/ctd/d/irvine-2012-ford-flex-limited-clean/7234559012.html,ca,los angeles,2012,ford,flex,7497,good,6 cylinders,gas,144000,clean,automatic,,fwd,full-size,SUV,black,https://images.craigslist.org/00f0f_hKWRS0XbbQi_0CI0t2_600x450.jpg
