region,year,manufacturer,model,price,mileage,transmission
new york city,2008,honda,civic hybrid,4900,109000,automatic
new york city,2011,subaru,legacy 2.5i limited awd,6999,139482,automatic
los angeles,2006,mercedes-benz,s500,7000,135911,automatic
los angeles,2017,gmc,yukon slt,26750,102097,automatic
los angeles,2017,ford,transit 350,25000,86000,automatic
los angeles,2020,bmw,330i,35995,9289,automatic
new york city,2008,honda,accord lx,3999,150213,automatic
los angeles,2017,chevrolet,malibu ls,16997,22000,automatic
los angeles,2018,nissan,versa note sv,9977,53760,automatic
new york city,2012,bmw,x5,13500,107000,automatic
los angeles,2006,jeep,wrangler unlimited rubicon,22995,144307,automatic
new york city,2010,honda,accord exl v6,7700,110000,automatic
los angeles,2013,jeep,wrangler sport suv 2d,18300,88065,automatic
los angeles,2015,ford,cmax hybrid,11997,39000,automatic
los angeles,2007,honda,civic,8995,157928,manual
los angeles,2016,toyota,avalon,15995,69785,automatic
los angeles,2013,gmc,yukon,15999,131564,automatic
los angeles,1998,toyota,tacoma trd 4x4,7800,205000,automatic
los angeles,2019,honda,civic sport,17900,11160,automatic
los angeles,2005,mercedes-benz,benz e350 wagon,4800,135194,automatic
new york city,2017,chevrolet,suburban lt 1500,29900,90211,automatic
los angeles,2017,ford,focus se,13997,13000,automatic
new york city,2007,chevrolet,malibu lt,2500,137000,automatic
los angeles,2019,honda,civic sport,17900,11160,automatic
los angeles,2019,honda,civic sport,17900,11160,automatic
los angeles,2019,honda,civic sport,17900,11160,automatic
los angeles,2014,lexus,gs,17990,86000,automatic
new york city,2019,chevrolet,corvette,40895,19955,automatic
new york city,2014,chevrolet,malibu lt,7800,95000,automatic
new york city,2012,toyota,camry se,7700,155000,automatic
new york city,2014,nissan,altima 2.5 s,9499,88000,automatic
los angeles,2007,subaru,impreza wrx wagon,7000,216000,manual
los angeles,2009,ford,edge se,9450,84672,automatic
los angeles,2011,toyota,fj cruiser,21188,125669,automatic
los angeles,2017,hyundai,elantra,13588,31679,automatic
los angeles,2016,honda,civic,14588,42000,automatic
new york city,2009,volkswagen,jetta sel,2800,179500,automatic
los angeles,2017,nissan,nv 2500 hd sv,21900,50357,automatic
new york city,2002,volkswagen,golf tdi 1.9l alh,4999,250000,automatic
los angeles,2016,nissan,nv 1500 sv,17000,99696,automatic
new york city,2014,nissan,rogue sv,11999,55000,automatic
los angeles,1995,ford,e350 cargo van,4999,164556,automatic
los angeles,2005,bmw,e46 m3,15500,168000,automatic
new york city,2006,honda,element,3500,190,automatic
los angeles,2014,hyundai,sonata limited,7495,135000,automatic
new york city,2007,nissan,murano sl,5500,126000,automatic
los angeles,2008,honda,fit,8997,35000,automatic
los angeles,2013,nissan,sentra sr,6700,98000,automatic
new york city,2017,jeep,compass,12999,55000,automatic
new york city,2014,dodge,avenger se,6300,85000,automatic
los angeles,1987,mercedes-benz,benz 420 sel,7999,86200,automatic
los angeles,2015,ford,f550,23995,148835,automatic
los angeles,2019,honda,civic sport,17900,11160,automatic
new york city,2015,nissan,quest sv,10999,73000,automatic
new york city,2018,lincoln,continental,16900,104418,automatic
los angeles,2011,jeep,wrangler,24995,70424,automatic
new york city,2013,porsche,boxster,32999,41056,automatic
new york city,2006,volkswagen,passat,1999,160,automatic
los angeles,2006,jeep,wrangler unlimited rubicon,22995,144307,automatic
los angeles,2007,hyundai,elantra,4600,110064,automatic
los angeles,2017,chevrolet,colorado,27459,77223,automatic
new york city,2014,toyota,sienna,14021,78539,automatic
new york city,2004,honda,odyssey,1299,130523,automatic
new york city,2013,nissan,rogue,11046,57635,automatic
new york city,2020,mitsubishi,eclipse,16000,3000,automatic
new york city,2011,hyundai,santa fe all wheel drive,6999,64235,automatic
new york city,2012,audi,q5,12500,108484,automatic
los angeles,2013,ford,f-150,11900,200000,automatic
los angeles,2016,jeep,renegade limited bad credit,16997,43000,automatic
los angeles,2019,kia,stinger bad credit,26997,12000,automatic
los angeles,2011,audi,a8,12999,113974,automatic
new york city,2016,bmw,m4,35000,24000,manual
new york city,2005,gmc,savana 1500,4200,200,automatic
los angeles,2008,chrysler,sebring convertible,3800,140000,automatic
los angeles,2004,chevrolet,silverado,18995,177000,automatic
new york city,2015,nissan,frontier,18995,90861,automatic
los angeles,2015,nissan,sentra,8495,77583,automatic
los angeles,2006,jeep,wrangler unlimited rubicon,22995,144307,automatic
los angeles,2007,toyota,fj cruiser,15000,206489,automatic
los angeles,2001,toyota,prius,1850,200000,automatic
los angeles,2017,chevrolet,camaro,20000,82800,automatic
los angeles,2008,jeep,wrangler unlimited x,18995,134000,automatic
los angeles,2016,mazda,mazda3,13000,64755,automatic
los angeles,2007,toyota,tundra sr5,15995,104596,automatic
new york city,2017,mercedes-benz,e-class,28599,48735,automatic
los angeles,2014,volkswagen,cc,14000,47831,automatic
los angeles,1999,acura,rl,6200,71000,manual
los angeles,2006,ford,f-550,16950,45100,automatic
new york city,2014,toyota,camry,4500,210640,automatic
los angeles,2004,lexus,ls 430,9000,174879,automatic
los angeles,2012,subaru,outback,8800,214000,automatic
los angeles,2014,toyota,corolla,7500,125908,automatic
los angeles,2013,dodge,durango,18000,105735,automatic
los angeles,2010,ford,transit connect,7500,150000,automatic
new york city,2013,honda,accord ex-l,10500,104,automatic
los angeles,2017,nissan,nv passenger,28000,50525,automatic
new york city,2000,nissan,pathfinder le,2900,216000,automatic
los angeles,2008,ford,f250 super duty 4x4,3000,131362,automatic
los angeles,2018,ford,f-150,33000,17784,automatic
new york city,2012,jeep,patriot,4900,100000,automatic
los angeles,2008,honda,civic,8000,43000,manual
new york city,2013,ford,e-350,16850,39859,automatic
los angeles,2011,honda,civic lx,4250,216000,automatic
los angeles,2006,jeep,renegade,6500,77163,manual
los angeles,2012,fiat,500 sport,4200,91000,manual
los angeles,2005,porsche,boxster,19000,37400,automatic
los angeles,2019,toyota,highlander le plus v6,27990,25853,automatic
los angeles,1995,ford,f-150,2900,130616,automatic
los angeles,1997,toyota,t100,12500,125000,manual
los angeles,2011,mini,cooper hardtop,7995,93374,automatic
new york city,2017,mercedes-benz,e-class,28599,48735,automatic
los angeles,2011,nissan,leaf sl,8300,49000,automatic
new york city,2005,mercedes-benz,sprinter 3500,12500,131000,automatic
los angeles,2017,audi,q5,23000,62015,automatic
los angeles,2016,honda,accord,16988,44222,automatic
los angeles,2017,infiniti,q50,23800,79792,automatic
los angeles,2019,toyota,tacoma,22950,11062,automatic
new york city,2012,honda,odyssey ex-l,10600,99863,automatic
los angeles,1999,toyota,truck tacoma,12700,141000,automatic
los angeles,2016,porsche,911 carrera,65995,57130,automatic
los angeles,2010,nissan,sentra sr,7800,105450,automatic
los angeles,2009,nissan,altima,3600,111000,automatic
los angeles,2008,honda,fit sport,4200,105000,automatic
los angeles,2016,nissan,sentra,9990,47000,automatic
los angeles,2016,mini,cooper countryman,13500,38837,automatic
los angeles,2007,chevrolet,silverado 2500,9000,141000,automatic
los angeles,2018,honda,odyssey,30500,13342,automatic
los angeles,2007,ford,focus se,1800,170000,automatic
los angeles,1975,ford,bronco,40000,50000,automatic
new york city,2015,nissan,frontier,18995,90861,automatic
los angeles,2015,nissan,frontier,13995,82395,automatic
los angeles,2016,jeep,wrangler,27900,73408,automatic
new york city,2011,chevrolet,equinox lt,6400,131000,automatic
los angeles,2015,lexus,rc 350,14950,51323,automatic
los angeles,2004,honda,pilot,3495,260200,automatic
los angeles,2009,bmw,x5 35d,8500,131000,automatic
los angeles,2013,chrysler,town & country,9900,100000,automatic
los angeles,2012,lexus,is 250 f sport,15999,76900,automatic
new york city,2019,toyota,tacoma,22950,11062,automatic
los angeles,2014,chevrolet,corvette,21950,1,manual
new york city,2006,toyota,corolla,3200,122000,automatic
los angeles,1998,honda,prelude,4999,135800,automatic
los angeles,2008,cadillac,escalade platinum,17500,145300,automatic
los angeles,2017,toyota,corolla im,14000,57000,automatic
los angeles,2004,lexus,ls430,9500,159335,automatic
new york city,2002,honda,cr-v,4500,164718,automatic
los angeles,2015,jeep,wrangler unlimited sport,28995,42258,automatic
los angeles,2018,mazda,cx-5,23500,26000,automatic
new york city,2017,mercedes-benz,e-class,28599,48735,automatic
los angeles,2014,toyota,prius ii,10400,66000,automatic
new york city,2015,lexus,rc 350,14950,51323,automatic
new york city,2009,infiniti,g37x,12000,99000,automatic
los angeles,2012,ram,1500 st,18995,85134,automatic
los angeles,2007,bmw,530i,6495,159951,automatic
los angeles,2011,acura,tsx sport wagon w/tech,13995,77862,automatic
los angeles,2007,honda,odyssey,5800,184800,manual
los angeles,2006,mini,cooper,6000,103000,manual
new york city,2014,chevrolet,express van,12500,145000,automatic
new york city,2017,nissan,pathfinder sv,19999,42000,automatic
los angeles,2013,mercedes-benz,benz m class ml350,17250,93700,automatic
los angeles,2015,honda,civic ex-l,12500,16847,automatic
los angeles,2009,lexus,is 250,12500,97000,automatic
new york city,2002,jeep,grand cherokee laredo,2499,142000,automatic
los angeles,2000,toyota,corolla,2100,113000,automatic
los angeles,2018,bmw,330i,23995,17848,automatic
los angeles,2013,toyota,sienna xle 8-passenger,15499,97000,automatic
los angeles,2003,volkswagen,eurovan,10800,148000,automatic
los angeles,2012,lexus,ct 200h,8995,110304,automatic
new york city,2018,honda,accord lx,14995,36000,automatic
los angeles,2001,volvo,s80,2750,105000,automatic
new york city,2017,chevrolet,express,11500,86324,automatic
los angeles,2016,volvo,xc90 t6 awd,29995,64421,automatic
los angeles,2011,nissan,leaf,3900,61000,automatic
new york city,2016,honda,odyssey,16995,85000,automatic
los angeles,1989,chevrolet,camaro rs,7500,109319,automatic
los angeles,2020,bmw,3 series,22950,12301,automatic
los angeles,2011,mini,cooper hardtop,7995,93374,automatic
los angeles,2018,chevrolet,colorado,31995,7462,automatic
los angeles,2019,bmw,x2 sdrive28i,400,16960,automatic
new york city,2015,ford,mustang,20799,35550,automatic
new york city,2019,toyota,tacoma,23950,40609,automatic
los angeles,2019,tesla,model 3,36998,9000,other
new york city,2020,dodge,durango,35995,22751,automatic
los angeles,2004,ford,taurus lx,3475,100000,automatic
los angeles,1988,toyota,4x4 pickup,9500,217000,manual
los angeles,2002,toyota,rav4,5900,103650,automatic
los angeles,2016,chevrolet,corvette stingray z51,46995,53570,manual
los angeles,2010,ford,mustang v6,10995,92609,manual
los angeles,1967,ford,mustang,21500,1500,automatic
los angeles,2004,volkswagen,jetta,4300,80560,automatic
los angeles,2006,subaru,forester,4999,163870,automatic
new york city,1991,mercedes-benz,benz 560 sec,13995,179000,automatic
los angeles,2015,kia,soul,8995,78713,automatic
los angeles,2002,nissan,altima,1700,205000,automatic
los angeles,2014,honda,accord,10800,66500,automatic
los angeles,2005,mercedes-benz,c230 kompressor,7500,63000,automatic
los angeles,2015,ford,escape se ecoboost,9971,100000,automatic
new york city,1995,mercedes-benz,benz e420,14000,105,automatic
new york city,2006,honda,pilot,3150,189000,automatic
new york city,2002,toyota,sequoia,3500,212368,automatic
los angeles,2012,volkswagen,gti 2.0t,11000,60000,automatic
new york city,2013,kia,optima,5800,152000,automatic
new york city,2011,nissan,versa,3450,115000,automatic
new york city,2020,lincoln,corsair,14950,33793,automatic
los angeles,2019,toyota,highlander le plus,27590,25853,automatic
los angeles,2013,toyota,prius hybrid,6800,64943,automatic
new york city,2016,lexus,is 200t,8950,68152,automatic
los angeles,2012,chevrolet,malibu,5500,120460,automatic
los angeles,2014,tesla,model s85,30971,96000,automatic
los angeles,2000,gmc,truck,12000,98000,manual
los angeles,2008,dodge,charger,6000,114650,automatic
new york city,2007,chevrolet,cobalt lt,3000,119000,automatic
los angeles,2002,pontiac,grand prix gt,3000,102650,automatic
new york city,2020,bmw,3 series,22950,12301,automatic
new york city,2002,lexus,rx300,3700,121200,automatic
los angeles,2007,saturn,vue hybrid,4300,86760,automatic
los angeles,2015,chevrolet,silverado 2500 6.6l diesel work truck 4x4!,37999,139974,automatic
los angeles,2011,bmw,x3,12500,81500,automatic
los angeles,2004,toyota,camry xle,3800,222000,automatic
los angeles,2005,chevrolet,siverado 6.6l dsl 3500 stake bed,14999,195082,automatic
los angeles,2015,kia,optima,9500,76000,automatic
los angeles,2006,mercury,milan,4800,46760,automatic
los angeles,2014,honda,accord ex,8900,63000,automatic
los angeles,2017,mercedes-benz,benz gle350,29999,47000,automatic
los angeles,2012,volkswagen,jetta sel pzev,4995,136000,automatic
los angeles,2014,ford,flex sel,15900,74166,automatic
los angeles,2017,ford,f-450,33450,146153,automatic
los angeles,2018,bmw,440i coupe,35800,28750,automatic
new york city,2012,toyota,prius,9395,63962,automatic
los angeles,2003,bmw,325ci,2750,180000,automatic
new york city,2008,honda,accord,5600,103000,automatic
new york city,2017,gmc,canyon denali crew cab,32500,35000,automatic
los angeles,2017,nissan,altima,9500,76000,automatic
los angeles,2013,tesla,s,33000,53500,automatic
new york city,2008,honda,accord,1000,95000,automatic
los angeles,2002,ford,f250 super duty diesel,11500,300155,automatic
los angeles,1987,jeep,cherokee laredo 4x4,14999,116000,automatic
los angeles,2010,dodge,challenger srt8,18000,105000,automatic
