region,year,manufacturer,model,price,mileage,transmission
new york city,2002,honda,accord,2500,175105,automatic
los angeles,2017,nissan,sentra sv,8500,78000,automatic
los angeles,2018,ford,fusion hybrid se,15499,53343,automatic
los angeles,2004,chevrolet,corvette convertible,15500,170000,automatic
new york city,2007,subaru,impreza,3600,128000,automatic
new york city,2009,volkswagen,gti,6000,167000,automatic
los angeles,2019,toyota,4runner,50000,21000,automatic
new york city,2011,toyota,prius,6650,130000,automatic
los angeles,1999,mazda,miata,5500,145750,manual
los angeles,2016,chevrolet,colorado lt,26000,65000,automatic
los angeles,2015,volkswagen,passat,14888,40185,automatic
new york city,1956,chevrolet,3100 truck,24500,1,automatic
los angeles,2011,nissan,murano crosscabriolet,6600,165000,automatic
los angeles,2017,toyota,prius prime premium,17500,30000,automatic
los angeles,2001,acura,rl,3750,134500,automatic
new york city,2009,bmw,328i,10000,89860,automatic
los angeles,2002,toyota,camry xle,2300,218123,automatic
los angeles,2016,nissan,sentra sv,6999,78000,automatic
los angeles,2012,honda,pilot,11990,91000,automatic
los angeles,2010,toyota,prius,6990,133900,automatic
new york city,2017,ram,promaster 2500,67900,48134,automatic
new york city,2007,toyota,fj cruiser,9997,197066,automatic
new york city,2007,jeep,grand cherokee,3500,127871,automatic
los angeles,2018,nissan,sentra,12995,29911,automatic
los angeles,1990,ford,f-150 xlt lariat 4x4,6000,162000,automatic
los angeles,2008,honda,ridgeline rt,5500,143000,automatic
los angeles,2016,acura,mdx,23395,79345,automatic
los angeles,2020,infiniti,qx60,24950,11410,automatic
new york city,2016,jeep,patriot,8997,113248,automatic
los angeles,2006,ford,f650,7000,310121,automatic
new york city,2008,toyota,avalon,5997,162682,automatic
new york city,2013,ford,explorer,12997,129596,automatic
new york city,2010,mazda,mazda3,8997,52711,automatic
los angeles,2012,volkswagen,jetta se,7500,91100,automatic
new york city,2012,mini,cooper coupe,9997,73593,automatic
los angeles,2017,ford,focus se,13997,13000,automatic
los angeles,2004,honda,accord,3000,184371,automatic
new york city,2020,volkswagen,tiguan,14950,6453,automatic
new york city,2011,mitsubishi,outlander sport,6497,132641,automatic
new york city,2017,nissan,rogue,16900,42139,automatic
new york city,2007,dodge,caliber r/t,5500,31867,automatic
new york city,2010,mercedes-benz,e-class,9997,105118,automatic
los angeles,2012,honda,accord,8500,77479,automatic
new york city,2014,nissan,versa note,6997,88473,automatic
los angeles,2013,nissan,pathfinder,17500,42300,automatic
new york city,2005,ford,f-150,7997,1762955,automatic
new york city,2017,mercedes-benz,gle 350,289,60361,automatic
new york city,2007,toyota,camry,6997,130574,automatic
los angeles,2017,nissan,sentra,8700,66000,automatic
los angeles,2013,toyota,camry le,11990,62000,automatic
los angeles,1964,chevrolet,chevelle ss,29995,66699,automatic
new york city,2008,mazda,tribute,6997,88529,automatic
los angeles,2000,toyota,sienna,3900,193910,automatic
new york city,2008,nissan,rogue,2500,189117,automatic
los angeles,2009,jeep,wrangler unlimited x,19998,124365,automatic
new york city,2010,mini,cooper clubman,6997,93533,automatic
los angeles,2016,kia,forte5,9998,47000,automatic
los angeles,1995,volvo,sedan,1900,165000,automatic
los angeles,2006,chevrolet,tahoe lt,9950,114000,automatic
los angeles,2013,honda,civic,7599,142500,automatic
los angeles,2013,honda,civic,7599,142500,automatic
los angeles,2008,honda,civic,6299,141479,automatic
los angeles,2017,honda,civic,12995,134000,automatic
los angeles,2008,honda,civic,6299,141479,automatic
los angeles,2014,volkswagen,jetta,6995,115000,automatic
los angeles,2012,toyota,corolla,8499,94306,automatic
los angeles,2012,toyota,corolla,8499,94306,automatic
new york city,2011,honda,pilot,11997,145594,automatic
new york city,2019,honda,civic type r,38800,5500,manual
los angeles,2015,ford,explorer,15000,104000,automatic
los angeles,2014,ford,f-450,42900,93212,automatic
new york city,2011,rover,lr4,16499,114215,automatic
los angeles,2008,honda,accord,5000,125000,automatic
los angeles,2012,chevrolet,traverse,8995,144525,automatic
los angeles,2017,ford,mustang,332,32609,manual
new york city,2014,honda,accord,11000,74526,automatic
new york city,2010,cadillac,dts pro,6997,119730,automatic
los angeles,2005,mercury,marquis marauder ls prem,11900,30681,automatic
new york city,2006,lexus,rx 330,6997,186554,automatic
los angeles,2007,ford,focus se,2500,165000,automatic
los angeles,1989,ford,econoline e350,6000,48500,automatic
new york city,2020,infiniti,qx60,24950,11410,automatic
new york city,2012,hyundai,tucson,10497,110155,automatic
los angeles,2017,nissan,versa,9800,52000,automatic
new york city,2013,nissan,rogue,7497,137359,automatic
new york city,2017,honda,accord,17900,24304,automatic
new york city,2014,hyundai,santa fe sport,11997,100330,automatic
new york city,2008,ford,expedition el limited,4300,104926,automatic
new york city,2012,subaru,forester,8997,141137,automatic
los angeles,2007,honda,ridgeline,13490,93664,automatic
los angeles,2009,honda,element ex awd,14300,73275,automatic
los angeles,2007,lexus,es 350,9490,105000,automatic
new york city,2013,ford,fusion,8997,90861,automatic
los angeles,2017,toyota,camry,12990,115360,automatic
los angeles,2001,toyota,camry,5490,115000,automatic
los angeles,2004,toyota,camry le,2900,100000,automatic
new york city,2016,mitsubishi,outlander sport,11497,118374,automatic
new york city,2008,audi,a4,4500,102000,automatic
new york city,2011,ford,transit connect,9497,107048,automatic
los angeles,2008,lexus,ls460,16990,61222,automatic
new york city,2013,hyundai,veloster,7997,129107,automatic
los angeles,2017,audi,a3 etron,21500,19835,automatic
new york city,2014,mitsubishi,outlander,7500,99000,automatic
los angeles,2007,volkswagen,rabbit,3000,99786,automatic
new york city,2011,subaru,forester,10497,94700,automatic
los angeles,2006,mercedes-benz,benz ml500,6300,149860,automatic
new york city,2011,kia,sorento,8497,124646,automatic
new york city,2011,jeep,grand cherokee laredo,9999,118000,automatic
new york city,2013,subaru,outback,7397,150802,manual
new york city,2007,mazda,mazda3,5997,121586,automatic
new york city,2006,ford,freestyle,5497,61314,automatic
los angeles,2020,chevrolet,silverado,23995,4600,automatic
new york city,2014,fiat,500l,11997,59964,automatic
new york city,2018,chevrolet,suburban 1500 lt,39100,30367,automatic
los angeles,2014,mercedes-benz,benz e63s amg,50000,56300,automatic
los angeles,2004,nissan,sentra,1300,179280,manual
new york city,2010,nissan,altima,7999,92000,automatic
los angeles,1998,saturn,sl,1500,1652738,automatic
los angeles,2008,toyota,camry hybrid,7699,76800,automatic
los angeles,2004,mitsubishi,montero,3300,160000,automatic
los angeles,2013,toyota,prius,12500,52795,automatic
los angeles,2007,toyota,prius,5299,120000,automatic
new york city,2014,lexus,es 350,19345,50200,automatic
los angeles,2013,bmw,7 series,17495,114700,automatic
los angeles,2013,bmw,7 series,17495,114700,automatic
los angeles,2007,acura,tsx,3000,170000,automatic
new york city,2010,mazda,3 sport,7495,67408,automatic
los angeles,1995,ford,ranger xlt,1800,260000,manual
los angeles,2010,hyundai,accent,3000,113726,automatic
los angeles,1993,honda,civic,1450,248524,manual
los angeles,2019,ram,1500,37750,34000,automatic
los angeles,2006,toyota,camry le,4200,150000,automatic
los angeles,2007,honda,fit,4999,123758,automatic
los angeles,2014,jeep,grand cherokee,17500,94735,automatic
los angeles,2011,toyota,camry le,9999,92000,automatic
los angeles,2017,chevrolet,2ss camaro,39900,11356,automatic
los angeles,2017,mazda,6 touring,11300,119000,automatic
new york city,2011,toyota,camry,5900,117,automatic
los angeles,2016,nissan,rogue,12494,58005,automatic
los angeles,2008,ford,mustang gt,5800,105000,manual
los angeles,2001,ford,f250 super duty 4x4,24500,106100,automatic
los angeles,2011,chrysler,300 limited,6500,152000,automatic
los angeles,2013,chevrolet,silverado 2500hd,15998,171487,automatic
los angeles,2004,saturn,l300,3900,40000,automatic
los angeles,2007,gmc,yukon,14995,54921,automatic
los angeles,2005,cadillac,escalade,9800,98000,automatic
los angeles,2017,honda,civic ex,17500,44270,automatic
los angeles,2006,volvo,xc90,5400,109000,automatic
los angeles,2008,ford,f-150,5000,163000,automatic
los angeles,2002,subaru,forester,1350,240000,automatic
los angeles,2002,honda,civic dx,2000,169060,automatic
new york city,2003,subaru,outback,2390,168000,automatic
los angeles,2008,lexus,es350,7599,165000,automatic
los angeles,2016,honda,accord sport,15990,75256,automatic
new york city,2010,ford,econoline e350,6500,234,automatic
los angeles,2013,bmw,7 series,17495,114700,automatic
los angeles,2013,bmw,7 series,17495,114700,automatic
new york city,2018,hyundai,sonata,13900,49874,automatic
new york city,2008,ford,e350,8500,268000,automatic
los angeles,2012,rover,sport,11500,152012,automatic
new york city,2010,honda,cr-v,6500,174,automatic
los angeles,2007,volkswagen,jetta,2000,122000,automatic
los angeles,1999,mazda,mx-5 miata,7000,140000,manual
los angeles,1987,ram,van,4000,67009,automatic
los angeles,2004,ford,ranger xl,8000,120780,manual
los angeles,2005,toyota,matrix xr awd,5200,135600,automatic
new york city,2008,honda,accord,4900,145000,automatic
los angeles,2017,kia,forte lx,16500,15980,automatic
los angeles,2017,chevrolet,volt,17900,45000,automatic
los angeles,2014,chevrolet,camaro zl1,40000,14500,manual
los angeles,1994,jeep,wrangler s,6500,182000,manual
los angeles,2002,ford,mustang gt convertible,4900,171000,manual
los angeles,2003,bmw,x5,4500,112000,automatic
los angeles,2003,toyota,camry,4000,185847,automatic
los angeles,2017,kia,forte,10800,58000,automatic
los angeles,2014,mercedes-benz,benz glk350,17900,60000,automatic
los angeles,2015,toyota,tacoma double cab prerunn,28000,74353,automatic
los angeles,2014,chevrolet,malibu,8895,109300,automatic
los angeles,2014,chevrolet,malibu,8895,109300,automatic
los angeles,2016,hyundai,elantra se,10500,34550,automatic
new york city,2008,chrysler,sebring,3300,90000,automatic
los angeles,1999,chevrolet,astro van,5750,89,automatic
new york city,2012,honda,accord,8000,93000,automatic
los angeles,2002,bmw,m3 coupe,21000,119500,other
los angeles,2003,ford,explorer,2795,147022,automatic
los angeles,2008,toyota,fj cruiser,26995,85715,automatic
los angeles,1986,mitsubishi,montero,10000,170000,manual
los angeles,2017,subaru,crosstrek 2.0i premium,21900,31975,automatic
new york city,2006,ford,fusion,3000,161112,automatic
los angeles,2015,toyota,prius,9500,102000,automatic
los angeles,1971,porsche,911,43500,1111,manual
los angeles,2004,chevrolet,silverado 1500,6700,166063,automatic
los angeles,2014,toyota,camry,9700,106000,automatic
new york city,2016,ford,transit 250,22000,20400,automatic
los angeles,2011,chevrolet,express 2500,13800,37820,automatic
los angeles,2010,ford,e-series cargo e-250,10980,42185,automatic
los angeles,2005,chevrolet,express g3500 shuttle bus,13800,26350,automatic
los angeles,2011,gmc,terrain,9895,108922,automatic
los angeles,2014,chevrolet,malibu,8895,109300,automatic
los angeles,2014,chevrolet,malibu,8895,109300,automatic
new york city,2012,chevrolet,express g2500,9500,82300,automatic
new york city,2015,chevrolet,suburban ltz,11900,74500,automatic
new york city,2013,ram,1500,12500,82500,automatic
new york city,2010,infiniti,fx fx35 awd,12900,78400,automatic
new york city,2014,honda,pilot ex-l awd,14500,64700,automatic
new york city,2004,toyota,tundra 2wd truck,8650,52000,manual
new york city,2011,gmc,yukon denali,12900,76500,automatic
new york city,2013,honda,pilot touring awd,13900,67300,automatic
new york city,2014,honda,odyssey ex-l,13500,64500,automatic
new york city,2011,honda,odyssey ex-l,15900,72600,automatic
new york city,2010,honda,odyssey ex-l,7500,65700,automatic
new york city,2013,honda,pilot touring awd,13900,67300,automatic
los angeles,2006,toyota,tacoma,7900,145000,automatic
new york city,2015,ford,fusion se,8900,67400,automatic
new york city,2008,gmc,yukon denali,9900,82500,automatic
new york city,2008,audi,a4,4500,102000,automatic
los angeles,2011,gmc,terrain,9895,108922,automatic
new york city,2015,toyota,rav4,14500,35779,automatic
los angeles,2004,toyota,tacoma double cab sr5,10500,190100,automatic
los angeles,2011,volkswagen,tiguan,6000,111000,automatic
los angeles,2011,toyota,tacoma prerunner,17900,154430,automatic
los angeles,2012,toyota,prius c,7100,100564,automatic
los angeles,2013,bmw,x1 sdrive28i,11500,119000,automatic
los angeles,2011,volkswagen,jetta wagon,3950,42500,automatic
los angeles,2011,bmw,328i,10995,87650,automatic
los angeles,2014,chevrolet,malibu,8895,109300,automatic
los angeles,2015,kia,rio lx,4500,170512,manual
los angeles,2014,chevrolet,malibu,8895,109300,automatic
los angeles,2010,nissan,murano sl,7650,85000,automatic
new york city,2010,mercedes-benz,gl450,15900,85930,automatic
los angeles,2005,ford,focus ses,2100,170883,automatic
los angeles,2020,subaru,outback awd 2.5i limited,24499,500,automatic
los angeles,2013,nissan,rouge s,82267,82267,automatic
los angeles,1999,toyota,tacoma,5900,171000,automatic
los angeles,1999,ford,f-350 diesel 4x4 7.3l power stroke turbo diesel crew cab dually lariat low miles,32900,104000,automatic
los angeles,2018,toyota,prius prime,21600,4002,automatic
los angeles,2009,chevrolet,express 1500 exlorer awd conversion van 4x4 6-passenger,22950,95000,automatic
los angeles,2014,chevrolet,silverado 1500 rwd w/t single cab v6 4.3l short bed,21950,46000,automatic
new york city,2013,dodge,grand caravan,5200,84345,automatic
los angeles,2016,ford,transit connect xl,27000,92000,automatic
los angeles,2012,toyota,camry se,9200,96000,automatic
los angeles,1995,ford,f-150 4x4 single cab 5.8l gas eddie bauer roll along low miles,15900,103000,automatic
los angeles,2015,chevrolet,cruze,7600,105,automatic
los angeles,2012,ford,flex titanium sport,9900,130000,automatic
los angeles,2004,toyota,camry,2500,245000,automatic
los angeles,2015,toyota,prius,12800,54,automatic
los angeles,2012,honda,civiv ex,9485,107487,automatic
los angeles,1999,honda,cr-v,3900,220000,automatic
los angeles,2006,toyota,avalon,5350,165000,automatic
new york city,2015,nissan,altima,8900,76000,automatic
new york city,2010,buick,enclave,1200,160000,automatic
los angeles,2017,honda,civic,13500,44000,automatic
new york city,2004,ford,f350 super duty,5500,160000,automatic
new york city,1998,chevrolet,s10 pickup,3400,40000,automatic
los angeles,2009,volvo,v70,3500,175000,automatic
los angeles,2019,volkswagen,jetta,12750,27595,automatic
los angeles,2006,chevrolet,express van,5650,194000,automatic
los angeles,2014,mini,cooper,7500,72000,automatic
los angeles,2010,toyota,prius,5980,173000,automatic
new york city,2011,infiniti,m37x,7995,160000,automatic
new york city,2008,mercedes-benz,benz s550 4matic amg,10995,214000,automatic
los angeles,2006,hyundai,sonata,5999,100000,automatic
los angeles,2014,toyota,sienna xle,17750,78000,automatic
los angeles,2016,hyundai,sonata,5499,165000,automatic
los angeles,2019,ford,ranger supercrew xlt pickup,28990,5149,other
los angeles,2019,mazda,mx-5 miata sport,23990,15216,other
los angeles,2013,ford,f150 supercrew cab svt,47990,33449,other
los angeles,2015,buick,enclave,16495,94003,automatic
los angeles,2011,honda,odyssey,13495,99216,automatic
new york city,2014,mercedes-benz,e350 4matic sport,18495,98889,automatic
los angeles,2019,toyota,4runner sr5 sport utility,36590,21038,other
los angeles,2019,toyota,tacoma access cab sr,25990,19463,other
los angeles,2014,chevrolet,corvette stingray,42990,26309,other
los angeles,2018,tesla,model 3 mid range sedan 4d,37590,47215,other
los angeles,2014,mercedes-benz,slk-class slk 250,25990,32809,automatic
los angeles,2020,kia,telluride ex sport utility,39990,17891,automatic
los angeles,2010,volvo,s80 t6 sedan 4d,13990,62126,other
los angeles,2018,ford,f150 super cab xlt pickup,33990,20571,automatic
los angeles,2012,bmw,3 series 335i sedan 4d,19990,60117,automatic
los angeles,2015,lexus,ls 460 crafted line sedan,35990,43862,automatic
los angeles,2016,buick,encore,12798,37384,automatic
new york city,2017,nissan,altima,15995,12426,automatic
los angeles,2017,lexus,gs 350,24000,90646,automatic
los angeles,2018,jeep,grand cherokee,30995,27109,automatic
los angeles,2015,hyundai,santa fe sport,14991,40261,automatic
new york city,2012,acura,tsx sedan 4d,16990,34138,automatic
new york city,2014,honda,civic si coupe 2d,19990,38224,other
new york city,2011,mercedes-benz,e-class e 350,17590,66858,automatic
new york city,2019,chevrolet,suburban lt sport,41590,41673,other
new york city,2017,buick,cascada premium,20990,38562,other
new york city,2019,toyota,tacoma double cab sr5,30990,6861,other
new york city,2009,lexus,is 250 sport sedan 4d,16990,49224,other
new york city,2006,acura,tl,4500,128000,automatic
los angeles,2018,mercedes-benz,gtc,114900,3325,automatic
new york city,2006,toyota,tacoma 4x4,8400,214612,manual
new york city,2010,toyota,sienna xle,7900,158919,automatic
new york city,2007,mercedes-benz,s550,4400,144000,automatic
new york city,2009,toyota,corolla s,4900,168122,manual
new york city,2016,mercedes-benz,benz e350,500,155000,automatic
new york city,2011,bmw,550i,17000,88000,automatic
los angeles,2007,chrysler,300,40000,111000,automatic
new york city,2008,subaru,outback,6200,133353,automatic
los angeles,2017,chevrolet,volt,15560,46697,automatic
los angeles,2017,toyota,prius,18385,19709,automatic
new york city,2008,dodge,avenger sxt,1300,164000,automatic
los angeles,2016,toyota,prius,16998,38805,automatic
new york city,2000,jeep,cherokee,1500,103540,manual
new york city,2012,gmc,3500 savana,17500,44992,automatic
los angeles,2016,kia,cadenza sedan 4d,17590,33007,automatic
los angeles,2012,acura,mdx sport utility 4d,17990,83509,automatic
los angeles,2018,honda,ridgeline rtl-e pickup 4d,35990,4102,other
los angeles,2017,jeep,patriot sport suv 4d,16590,35661,automatic
los angeles,2018,gmc,yukon sle sport utility 4d,39590,29759,automatic
los angeles,2016,jaguar,xj xjl portfolio sedan 4d,38990,19380,automatic
new york city,2008,infiniti,g37 coupe,7500,160000,automatic
new york city,2010,infiniti,g37,8500,81682,automatic
new york city,2008,bmw,535i,4200,141000,automatic
los angeles,2019,infiniti,qx80 limited sport,51990,17266,other
los angeles,2016,ford,taurus sel sedan 4d,13990,69445,other
los angeles,2010,volvo,xc70 3.2 wagon 4d,11990,90551,other
los angeles,2016,gmc,sierra 1500 crew cab slt,33990,33588,automatic
los angeles,2019,ford,ranger supercab xlt pickup,28990,14099,other
los angeles,2013,ford,mustang gt premium coupe 2d,27990,9760,other
new york city,2008,subaru,impreza wagon,4600,126996,automatic
new york city,2012,nissan,rogue,6900,114925,automatic
new york city,2008,ford,edge,6200,113139,automatic
new york city,2019,subaru,wrx sedan 4d,26990,7948,other
new york city,2001,ford,f-150,1700,225101,automatic
new york city,2014,jeep,wrangler unlimited sport,27990,16288,other
los angeles,2009,infiniti,g37 sedan,10846,86130,automatic
new york city,2003,toyota,camry,4900,180000,automatic
new york city,2009,toyota,camry,4900,180000,automatic
los angeles,2000,audi,a6 2.7t quattro,3600,208000,manual
new york city,2012,ford,mustang gt premium,22990,40853,other
new york city,2018,chevrolet,silverado 1500 double,30990,18994,automatic
new york city,2013,infiniti,g g37x sedan 4d,18990,38531,automatic
los angeles,2013,audi,a5 2.0t prestige coupe 2d,17990,73321,automatic
los angeles,2013,ford,c-max,6199,121000,automatic
los angeles,2019,ram,1500 classic quad cab,25990,7142,other
los angeles,2016,kia,forte koup ex coupe 2d,11990,43671,automatic
los angeles,2012,fiat,500 500c lounge convertible,10590,48412,other
los angeles,2013,volkswagen,gti drivers,16590,30033,automatic
los angeles,2011,acura,tl sedan 4d,13590,78777,other
los angeles,2017,alfa-romeo,romeo giulia sedan 4d,25990,28590,other
los angeles,2019,acura,mdx sh-awd w/technology,38990,14923,other
new york city,2017,toyota,tundra crewmax sr5 pickup,38990,2428,automatic
new york city,2019,nissan,titan crew cab sv pickup,34990,2777,other
new york city,2019,acura,mdx sh-awd w/technology,38990,14923,other
new york city,2017,lincoln,mkz reserve sedan 4d,25990,19868,automatic
new york city,2008,ford,super duty f-250 srw,10600,168730,automatic
new york city,2010,ford,focus,3400,99763,automatic
new york city,2006,chevrolet,trailblazer,3600,182723,automatic
new york city,2005,acura,mdx touring,3500,145000,automatic
los angeles,2011,toyota,camry se sedan 4d,10990,65198,other
los angeles,2015,lincoln,mkc sport utility 4d,19590,52910,automatic
new york city,2020,gmc,sierra 1500 crew cab slt,48990,1925,automatic
los angeles,2016,hyundai,genesis coupe 3.8 2d,20990,64697,automatic
los angeles,2019,dodge,charger scat pack sedan 4d,37590,16463,other
los angeles,2017,ram,1500 quad cab express pickup,27990,26291,other
los angeles,2012,mazda,3,8000,174000,automatic
new york city,2005,chevrolet,malibu,3100,82000,automatic
los angeles,2017,chevrolet,colorado crew cab zr2,34990,24557,other
new york city,2015,volvo,v60 t5 premier,15000,23940,automatic
new york city,2019,mazda,mx-5 miata sport,23990,15216,other
new york city,2007,subaru,impreza,1700,186606,automatic
new york city,2000,toyota,camry,1500,147000,automatic
new york city,2019,ford,ranger supercrew xlt pickup,31990,4021,other
new york city,2019,toyota,corolla hatchback se 4d,17990,4142,other
los angeles,2015,bmw,3 series,16395,54156,automatic
new york city,2015,kia,soul plus,5900,110000,automatic
los angeles,2018,chevrolet,traverse,28995,28374,automatic
new york city,2002,ford,econoline e350,2500,15700,automatic
new york city,2007,jeep,grand cherokee laredo,4700,150000,automatic
los angeles,2017,bmw,5 series,34987,40021,automatic
new york city,2006,honda,accord,7600,46802,automatic
los angeles,2017,fiat,124 spider classica,20990,9217,other
new york city,2004,honda,accord,3800,161000,automatic
los angeles,2012,volvo,s60 t6 sedan 4d,13990,70472,other
los angeles,2016,lexus,rc 200t coupe 2d,26990,30504,automatic
new york city,2012,nissan,juke sv,5900,116000,automatic
new york city,1955,ford,thunderbird,7400,20000,automatic
los angeles,2012,nissan,leaf sl hatchback 4d,8990,21923,other
new york city,2015,acura,tlx,14900,81607,automatic
los angeles,2020,toyota,tundra double cab sr5,41590,8179,automatic
los angeles,2015,volkswagen,golf sportwagen tdi s,15990,72141,automatic
new york city,2001,lexus,rx 300,4200,108196,automatic
los angeles,2011,toyota,yaris,4500,170000,automatic
los angeles,2017,toyota,avalon,13998,103896,automatic
new york city,2017,fiat,124 spider,24295,14385,manual
new york city,2015,jeep,cherokee,20495,27537,automatic
los angeles,2020,jeep,gladiator sport pickup 4d 5,34990,31503,other
los angeles,2018,volvo,xc60 t6 inscription sport,38990,13877,automatic
los angeles,2012,nissan,titan king cab sv pickup,20990,48037,other
new york city,2008,bmw,328 x,5650,140331,automatic
new york city,2012,chevrolet,traverse,5950,119331,automatic
new york city,1997,mercedes-benz,s420,7900,120300,automatic
los angeles,2014,bmw,x5 sdrive35i sport utility,20590,88696,automatic
new york city,2010,lexus,rx 350 sport utility 4d,16990,63340,other
los angeles,2011,cadillac,dts sedan 4d,12990,90780,other
los angeles,2017,ram,1500 quad cab express pickup,30990,10260,other
new york city,2009,toyota,4runner,9800,189000,automatic
los angeles,2017,honda,civic,13989,40206,automatic
new york city,2012,fiat,500 500c lounge convertible,10590,48412,other
los angeles,2011,mercedes-benz,e-class e 350,19990,63219,automatic
los angeles,2019,jeep,wrangler sport s utility 2d,33990,6707,other
los angeles,2014,bmw,x5 xdrive35d sport utility,26990,71723,automatic
los angeles,2011,infiniti,g ipl coupe 2d,20990,48715,manual
new york city,2011,jeep,liberty sport suv 4d,13990,62022,other
los angeles,2017,kia,niro touring wagon 4d,21990,32047,automatic
los angeles,2016,volkswagen,beetle 1.8t se,15990,40247,automatic
los angeles,2019,chevrolet,suburban lt sport,43990,35729,other
new york city,2014,lexus,gs 350 sedan 4d,22990,63474,automatic
new york city,2019,toyota,tacoma access cab sr,25990,19463,other
new york city,2013,mini,hardtop cooper s hatchback,16590,23850,automatic
new york city,2013,cadillac,cts 3.6 premium,17990,63993,other
new york city,2006,honda,element lx,4800,116999,automatic
los angeles,2013,mini,hardtop,7491,121452,automatic
los angeles,2002,toyota,tacoma,12995,103500,automatic
new york city,2018,hyundai,santa fe,23236,15650,automatic
new york city,2008,chevrolet,colorado regular cab,6295,48328,automatic
new york city,2011,chevrolet,impala,5995,86704,automatic
new york city,2009,ford,e150 cargo,12995,61566,automatic
los angeles,2016,kia,soul,12499,65054,automatic
new york city,2015,hyundai,sonata hybrid,6750,128000,automatic
new york city,2013,dodge,dart,5995,123108,automatic
los angeles,2016,toyota,4runner 4wd 4dr v6 sr5,34995,60430,automatic
new york city,2012,nissan,altima,7500,115298,automatic
new york city,2008,chrysler,pacifica,1700,175000,automatic
new york city,2011,honda,accord,8995,133986,automatic
new york city,2009,honda,fit sport,5995,124,automatic
new york city,2013,hyundai,sonata,9500,78131,automatic
los angeles,2014,toyota,highlander,316,48396,automatic
los angeles,1983,porsche,911,32950,153435,other
new york city,2007,honda,cr-v ex,7495,98,automatic
new york city,2015,nissan,murano,16370,90259,other
los angeles,2018,ford,transit cargo,23995,12780,automatic
new york city,2016,toyota,corolla,13995,56392,automatic
los angeles,2020,ford,escape,28500,4606,automatic
los angeles,2017,mazda,cx-5,22488,38808,automatic
new york city,2020,ford,mustang,28995,13464,automatic
los angeles,2017,honda,accord,17988,52624,automatic
new york city,2013,toyota,prius,9895,64,automatic
new york city,2008,nissan,altima,3875,163600,automatic
new york city,2013,jeep,grand cherokee,12950,116647,automatic
new york city,2014,volkswagen,passat tdi sel,8799,74000,automatic
new york city,2015,volkswagen,passat,8499,34000,automatic
los angeles,2015,kia,optima lx,7000,109000,automatic
los angeles,2004,acura,rsx,4300,193864,automatic
los angeles,2017,toyota,sienna,27652,21878,automatic
new york city,2014,chevrolet,silverado,28200,74000,automatic
new york city,2019,ford,f150 supercrew cab xlt,35990,10873,other
new york city,2010,chevrolet,2500,4900,130000,automatic
los angeles,2016,mazda,cx-5,16298,70334,automatic
new york city,2008,nissan,altima,5250,63000,automatic
new york city,2013,ford,expedition el limited sport,24590,75460,other
los angeles,2016,toyota,highlander hybrid awd na,31995,26216,automatic
new york city,2004,ford,f250 super duty,8700,148000,automatic
los angeles,2017,toyota,tacoma,32628,27483,automatic
new york city,2016,chevrolet,silverado 1500 regular,23990,6033,automatic
new york city,2016,volkswagen,golf r hatchback,27990,35596,other
new york city,2018,jeep,grand cherokee upland sport,25590,30104,other
los angeles,1999,porsche,boxster,3900,118000,manual
new york city,2005,honda,civic,1800,230000,automatic
los angeles,2018,toyota,rav4,23833,30244,automatic
new york city,2016,honda,crv exl 4wd,17750,57000,automatic
los angeles,2020,ram,1500,42688,3494,automatic
los angeles,2006,toyota,4runner sport edition,8000,203021,automatic
los angeles,2005,honda,accord,3700,158,automatic
los angeles,2012,lexus,rx,226,77521,automatic
new york city,2012,toyota,tundra double cab pickup,29990,35474,other
new york city,2013,cadillac,escalade luxury sport,33990,36488,other
new york city,2012,honda,civic lx coupe,8999,48300,automatic
los angeles,2011,toyota,camry le,8777,105988,automatic
new york city,2013,audi,s5 prestige coupe 2d,24990,66077,automatic
new york city,2011,bmw,z4 sdrive30i roadster 2d,21590,53351,other
new york city,2013,volvo,c70 t5 convertible 2d,22990,26953,other
new york city,2018,subaru,wrx sti limited sedan 4d,36990,1366,other
new york city,2020,jeep,wrangler unlimited sport s,39590,21489,automatic
new york city,2013,mercedes-benz,glk-class glk 350,19990,80551,automatic
new york city,2018,ford,fiesta se hatchback 4d,12990,33610,other
new york city,2017,volkswagen,cc 2.0t sport sedan,16990,53281,automatic
los angeles,2010,chevrolet,aveo,2850,62000,manual
new york city,2014,gmc,sierra 1500 double cab sle,30590,34292,other
new york city,2017,ram,1500 quad cab express pickup,30990,10260,other
new york city,2013,bmw,3 series 335i sedan 4d,22590,49085,automatic
los angeles,2011,ford,f150 regular cab xl pickup,14990,85662,other
los angeles,2011,toyota,rav4,8999,114085,automatic
los angeles,2008,toyota,prius,3900,190000,automatic
los angeles,2015,ford,transit connect swb xl,14995,102793,automatic
new york city,2009,chevrolet,hhr,800,167000,automatic
new york city,2015,toyota,prius v hybrid,3950,275000,automatic
new york city,2016,mercedes-benz,benz e350,37000,34715,automatic
new york city,2014,chevrolet,corvette stingray,42990,26309,other
los angeles,2018,mercedes-benz,benz sprinter,130000,25300,automatic
los angeles,2019,ram,1500 classic crew cab slt,29990,11274,other
los angeles,2011,jeep,liberty sport suv 4d,13990,62022,other
new york city,2011,nissan,quest s,8800,79652,automatic
los angeles,2020,kia,forte fe sedan 4d,15590,14621,automatic
