state,city,year,manufacturer,model,price,mileage,cylinders,drive,fuel,transmission,url,image_url
ca,los angeles,1950,ford,2dr sedan,11500,10000,8 cylinders,rwd,gas,manual,https://losangeles.craigslist.org/sfv/cto/d/tujunga-1950-ford/7234560082.html,https://images.craigslist.org/00V0V_dQ17yfR3IrY_0CI0sV_600x450.jpg
ca,los angeles,2012,mini,cooper countryman s,6997,132000,4 cylinders,fwd,gas,automatic,https://losangeles.craigslist.org/wst/ctd/d/irvine-2012-mini-cooper-countryman-1/7234560009.html,https://images.craigslist.org/00Y0Y_eFD3adsQE9n_0CI0t2_600x450.jpg
ca,los angeles,2012,audi,a4 avant,8497,128000,4 cylinders,4wd,gas,automatic,https://losangeles.craigslist.org/wst/ctd/d/irvine-2012-audi-a4-avant-wagon-clean/7234559318.html,https://images.craigslist.org/00909_8DfjI6wOa2k_0bM07L_600x450.jpg
ca,los angeles,2012,ford,flex,7497,144000,6 cylinders,fwd,gas,automatic,https://losangeles.craigslist.org/wst/ctd/d/irvine-2012-ford-flex-limited-clean/7234559012.html,https://images.craigslist.org/00f0f_hKWRS0XbbQi_0CI0t2_600x450.jpg
ca,los angeles,2018,bmw,530e iperformance e-drive clean air vehicle w. stickers,37888,24111,4 cylinders,rwd,hybrid,automatic,https://losangeles.craigslist.org/ant/ctd/d/concord-2018-bmw-530e-iperformance-one/7234558983.html,https://images.craigslist.org/00M0M_dpRwbVfL4t8_0cU09G_600x450.jpg
ca,los angeles,2017,ford,mustang ecoboost premium,23500,26222,4 cylinders,rwd,gas,manual,https://losangeles.craigslist.org/lac/ctd/d/bellflower-2017-ford-mustang-ecoboost/7234558689.html,https://images.craigslist.org/01313_1tAVsttC6HN_0ag07K_600x450.jpg
ca,los angeles,2006,chevrolet,silverado 1500,9900,140000,8 cylinders,rwd,gas,automatic,https://losangeles.craigslist.org/lac/cto/d/norco-sale-super-clean-2006-chevrolet/7234557882.html,https://images.craigslist.org/01515_cjeTthf5pLZ_0CI0t2_600x450.jpg
ca,los angeles,2013,bmw,328i,8497,146340,4 cylinders,rwd,gas,automatic,https://losangeles.craigslist.org/lgb/ctd/d/irvine-2013-bmw-328i-sedan-clean-title/7234557849.html,https://images.craigslist.org/00c0c_3N75i6EmPvd_0CI0t2_600x450.jpg
ca,los angeles,2010,toyota,tundra,17500,112000,8 cylinders,rwd,gas,automatic,https://losangeles.craigslist.org/ant/cto/d/palmdale-2010-tundra-trd-limited-v8-2wd/7234557729.html,https://images.craigslist.org/00X0X_4lGajXM7c21_0CI0lM_600x450.jpg
ca,los angeles,2013,toyota,prius,7697,147943,4 cylinders,fwd,hybrid,automatic,https://losangeles.craigslist.org/lgb/ctd/d/irvine-2013-toyota-prius-package-solar/7234556710.html,https://images.craigslist.org/00R0R_2dmaoENvEqX_0CI0t2_600x450.jpg
ca,los angeles,2014,toyota,prius,7997,166702,4 cylinders,fwd,hybrid,automatic,https://losangeles.craigslist.org/wst/ctd/d/irvine-2014-toyota-prius-plug-in/7234556059.html,https://images.craigslist.org/00303_eLEvZ00xslc_0CI0t2_600x450.jpg
ca,los angeles,2012,mini,cooper countryman,7597,99000,4 cylinders,fwd,gas,manual,https://losangeles.craigslist.org/lgb/ctd/d/irvine-2012-mini-cooper-countryman/7234555015.html,https://images.craigslist.org/00Q0Q_8X2UyPVrVqs_0CI0t2_600x450.jpg
ca,los angeles,2014,toyota,corolla s plus,8100,89074,4 cylinders,fwd,gas,automatic,https://losangeles.craigslist.org/lac/cto/d/los-angeles-2014-toyota-corolla-plus/7234554874.html,https://images.craigslist.org/00W0W_ehQ7RpSLlGT_0CI0t2_600x450.jpg
ca,los angeles,2006,jeep,liberty,4000,128300,6 cylinders,4wd,gas,automatic,https://losangeles.craigslist.org/wst/cto/d/los-angeles-2006-jeep-liberty-4wd-128k/7234554791.html,https://images.craigslist.org/00w0w_bd3YT2iyxYZ_0ak07K_600x450.jpg
ca,los angeles,2007,honda,crv,7600,132123,4 cylinders,fwd,gas,automatic,https://losangeles.craigslist.org/lac/cto/d/westminster-2007-honda-crv-lx-mi-24l/7234554497.html,https://images.craigslist.org/01515_hTQnFFJPxHH_0jm0ew_600x450.jpg
ca,los angeles,2014,toyota,prius,8699,137000,4 cylinders,fwd,hybrid,automatic,https://losangeles.craigslist.org/sfv/ctd/d/valencia-2014-toyota-prius-four-fully/7234554364.html,https://images.craigslist.org/00H0H_4ZVfM1eFX3n_0jm0ew_600x450.jpg
ca,los angeles,2010,honda,civic hybrid,4500,160000,4 cylinders,fwd,hybrid,automatic,https://losangeles.craigslist.org/lac/cto/d/norco-2010-honda-civic-hybrid-sedan-sale/7234553945.html,https://images.craigslist.org/00505_ePTarZvdqWE_0CI0t2_600x450.jpg
ca,los angeles,2012,nissan,quest sv,6900,160000,6 cylinders,fwd,gas,automatic,https://losangeles.craigslist.org/lac/cto/d/compton-2012-nissan-quest-automatic/7234553589.html,https://images.craigslist.org/01515_3uZEEzTANIr_0CI0ik_600x450.jpg
ca,los angeles,2015,dodge,challenger,18999,68000,6 cylinders,rwd,gas,automatic,https://losangeles.craigslist.org/sfv/ctd/d/winnetka-2015-dodge-challenger-sxt-plus/7234552731.html,https://images.craigslist.org/00m0m_jWDdsiScE37_0cU09G_600x450.jpg
ca,los angeles,2010,jeep,grand cherokee limited,8499,143000,6 cylinders,4wd,gas,automatic,https://losangeles.craigslist.org/sfv/ctd/d/winnetka-2010-jeep-grand-cherokee/7234552069.html,https://images.craigslist.org/00N0N_iBlOIJRrzwm_0cU09G_600x450.jpg
ca,los angeles,2009,audi,a4 2.0t quattro,8500,100000,4 cylinders,4wd,gas,automatic,https://losangeles.craigslist.org/sfv/cto/d/van-nuys-2009-audi-a4-quattro-20t/7234551889.html,https://images.craigslist.org/01010_2Y7Ju5NAtUY_0fC0bG_600x450.jpg
ca,los angeles,2015,honda,civic lx,9999,105000,4 cylinders,fwd,gas,automatic,https://losangeles.craigslist.org/sfv/cto/d/winnetka-2015-honda-civic-very-clean/7234551740.html,https://images.craigslist.org/00000_5jj1i9pEAaI_0i90dP_600x450.jpg
ca,los angeles,2015,honda,civic lx,9999,105000,4 cylinders,fwd,gas,automatic,https://losangeles.craigslist.org/sfv/cto/d/winnetka-2015-honda-civic-very-clean/7234550543.html,https://images.craigslist.org/00000_5jj1i9pEAaI_0i90dP_600x450.jpg
ca,los angeles,2012,bmw,328i,10995,83000,4 cylinders,rwd,gas,automatic,https://losangeles.craigslist.org/sfv/ctd/d/winnetka-2012-bmw-328i-series-door-sedan/7234550330.html,https://images.craigslist.org/00W0W_fsvo1T7qY62_0cU09F_600x450.jpg
ca,los angeles,2016,toyota,camry,13999,53000,4 cylinders,fwd,gas,automatic,https://losangeles.craigslist.org/sfv/cto/d/valencia-2016-toyota-camry-se-door/7234549967.html,https://images.craigslist.org/00j0j_eX99XfnYf3S_0jm0ew_600x450.jpg
ca,los angeles,2004,pontiac,vibe,1800,179000,4 cylinders,fwd,gas,automatic,https://losangeles.craigslist.org/sgv/cto/d/rosemead-2004-pontiac-vibe/7234549802.html,https://images.craigslist.org/00L0L_crc3F2Wrtd8_0CI0t2_600x450.jpg
ca,los angeles,2017,ford,mustang ecoboost premium,22750,30472,4 cylinders,rwd,gas,manual,https://losangeles.craigslist.org/lac/ctd/d/bellflower-2017-ford-mustang-ecoboost/7234547699.html,https://images.craigslist.org/01313_joOrnvrnYec_0ag07K_600x450.jpg
ca,los angeles,2007,honda,accord ex sedan,4900,145000,4 cylinders,fwd,gas,automatic,https://losangeles.craigslist.org/lgb/cto/d/cerritos-2007-honda-accord-ex-clean/7234545077.html,https://images.craigslist.org/00Z0Z_6T5Jb8kLGR4_0CI0t2_600x450.jpg
ca,los angeles,2006,gmc,sierra 1500,12500,120000,8 cylinders,rwd,gas,automatic,https://losangeles.craigslist.org/lac/cto/d/norco-sale-super-clean-2006-gmc-sierra/7234543854.html,https://images.craigslist.org/00q0q_gLVaz7Jc1aF_0CI0t2_600x450.jpg
ca,los angeles,1997,ford,f-150,4500,200000,8 cylinders,rwd,gas,automatic,https://losangeles.craigslist.org/sfv/cto/d/north-hollywood-ford-150-short-bed/7234543035.html,https://images.craigslist.org/00707_dNjycxmpaL_0t20CI_600x450.jpg
