,year,make,model,sub_model,city,state,mileage,price,exterior_color,interior_color,mpg_city,mpg_hwy,engine,transmission,drive_type,fuel_type,popular_feature,vehicle_history,cpo
0,2017,Mazda,['Mazda6'],2017.5 Sport Automatic,Venice,CA,"31,654","$15,990",Snowflake White Pearl Mica,Black,26,35,2.5L Inline-4 Gas,Automatic,FWD,Gas,"['Premium Wheels', 'Backup Camera', 'Blind Spot System', 'Bluetooth']","['0 reported accidents', 'Personal or Rental Use', 'Clean', '1']",False
1,2017,INFINITI,['QX60'],3.5 FWD,Los Angeles,CA,"29,618","$24,980",Hermosa Blue,Graphite,20,27,3.5L V-6 Gas,Automatic,FWD,Gas,"['Premium Wheels', 'Power Trunk/Liftgate', 'Navigation', 'Front Heated Seats', 'Remote Engine Start', 'Backup Camera', 'Bluetooth', 'Moonroof', 'Premium Audio', 'Premium Seat Material', 'Third Row Seating', 'Multi-Zone Climate Control', 'Parking Sensors']","['0 reported accidents', 'Personal or Rental Use', 'Clean', '1']",False
2,2019,Ford,['Fusion'],Hybrid SEL FWD,Van Nuys,CA,"31,959","$16,495",Agate Black,Ebony,43,41,2.0L Inline-4 Hybrid,Automatic,FWD,Hybrid,"['Premium Wheels', 'Front Heated Seats', 'Multi-Zone Climate Control', 'Blind Spot System', 'Backup Camera', 'Bluetooth', 'Navigation', 'Remote Engine Start', 'Adaptive Cruise Control', 'Lane Keep Assist', 'Parking Sensors']","['0 reported accidents', 'Personal or Rental Use', 'Clean', '1']",False
3,2009,Kia,['Rio'],LX Sedan Automatic,Santa Monica,CA,"111,113","$3,000",Black,Unknown,25,35,1.6L Inline-4 Gas,Automatic,FWD,Gas,[],"['0 reported accidents', 'Personal or Rental Use', 'Clean', '3']",False
4,2014,Mercedes-Benz,['E-Class'],E 350 4MATIC Luxury Sedan,Los Angeles,CA,"69,444","$17,999",Black,Black,21,29,3.5L V-6 Gas,Automatic,AWD,Gas,[],"['1 reported accidents', 'Personal or Rental Use', 'Clean', '4']",False
5,2019,Nissan,['Altima'],S FWD,Van Nuys,CA,"35,986","$14,988",Super Black,Charcoal,28,39,2.5L Inline-4 Gas,Automatic,FWD,Gas,"['Remote Engine Start', 'Bluetooth', 'Backup Camera']","['0 reported accidents', 'Personal or Rental Use', 'Clean', '1']",False
6,2019,Nissan,['Altima'],S FWD,Van Nuys,CA,"36,760","$14,988",Glacier White,Charcoal,28,39,2.5L Inline-4 Gas,Automatic,FWD,Gas,"['Remote Engine Start', 'Bluetooth', 'Backup Camera']","['0 reported accidents', 'Personal or Rental Use', 'Clean', '1']",False
7,2011,MINI,['Hardtop'],Hardtop 2-Door,Santa Monica,CA,"77,111","$6,995",Brown,Carbon Black,29,37,1.6L Inline-4 Gas,Automatic,FWD,Gas,"['Premium Wheels', 'Premium Seat Material']","['0 reported accidents', 'Fleet or Mixed Use', 'Clean', '3']",False
8,2015,Dodge,"['Grand', 'Caravan']",SXT Plus,Los Angeles,CA,"107,061","$7,495",Bright White Clearcoat,Black,17,25,3.6L V-6 Gas,Automatic,FWD,Gas,"['Premium Wheels', 'Navigation', 'Front Heated Seats', 'Multi-Zone Climate Control', 'Bluetooth', 'Power Trunk/Liftgate', 'Premium Seat Material', 'Third Row Seating', 'Backup Camera']","['0 reported accidents', 'Personal or Rental Use', 'Clean', '2']",False
9,2016,Buick,['Encore'],FWD,Los Angeles,CA,"56,679","$10,495",Summit White,Ebony,25,33,1.4L Inline-4 Gas Turbocharged,Automatic,FWD,Gas,"['Premium Wheels', 'Backup Camera', 'Multi-Zone Climate Control', 'Bluetooth']","['0 reported accidents', 'Fleet or Mixed Use', 'Clean', '2']",False
