,year,make,model,sub_model,city,state,mileage,price,exterior_color,interior_color,mpg_city,mpg_hwy,engine,transmission,drive_type,fuel_type,popular_feature,vehicle_history,cpo
10,2012,Jeep,"['Grand', 'Cherokee']",Laredo 4WD,Santa Monica,CA,"89,550","$11,948",Brilliant Black Crystal Pearl,Black,16,23,3.6L V-6 Gas,Automatic,4WD,Gas,"['Premium Wheels', 'Multi-Zone Climate Control', 'Remote Engine Start', 'Bluetooth']","['2 reported accidents', 'Personal or Rental Use', 'Clean', '2']",False
11,2013,Mercedes-Benz,['S-Class'],S 63 AMG Sedan RWD,Los Angeles,CA,"70,709","$34,999",Black,Black,15,23,5.5L V-8 Gas Turbocharged,Automatic,RWD,Gas,"['Premium Wheels', 'Premium Audio', 'Premium Seat Material', 'Front Cooled Seats', 'Backup Camera', 'Bluetooth', 'Moonroof', 'Navigation', 'Front Heated Seats', 'Multi-Zone Climate Control', 'Parking Sensors']","['0 reported accidents', 'Personal or Rental Use', 'Clean', '5']",False
12,2005,Honda,['Accord'],LX Special Edition Coupe Automatic,Santa Monica,CA,"133,360","$3,199",San Marino Red,Unknown,24,34,2.4L Inline-4 Gas,Automatic,FWD,Gas,['Premium Wheels'],"['1 reported accidents', 'Personal or Rental Use', 'Clean', '1']",False
13,2014,Audi,['A7'],Premium Plus Sportback 3.0S quattro,Los Angeles,CA,"77,919","$24,999",Ibis White,Velvet Beige/Dark Carpet,18,28,3.0L V-6 Gas Supercharged,Automatic,AWD,Gas,"['Premium Wheels', 'Power Trunk/Liftgate', 'Premium Seat Material', 'Multi-Zone Climate Control', 'Parking Sensors', 'Moonroof', 'Navigation', 'Front Heated Seats', 'Backup Camera', 'Bluetooth']","['0 reported accidents', 'Personal or Rental Use', 'Clean', '2']",False
14,2013,Nissan,['Versa'],SV CVT,Santa Monica,CA,"123,000","$4,109",Brilliant Silver Metallic,Charcoal,31,40,1.6L Inline-4 Gas,Automatic,FWD,Gas,[],"['0 reported accidents', 'Fleet or Mixed Use', 'Clean', '4']",False
15,2014,MINI,['Countryman'],FWD,Santa Monica,CA,"149,253","$9,494",Light White,Unknown,28,35,1.6L Inline-4 Gas,Manual,FWD,Gas,"['Premium Wheels', 'Bluetooth', 'Premium Seat Material']","['0 reported accidents', 'Personal or Rental Use', 'Clean', '2']",False
16,2014,Mercedes-Benz,['CLS'],CLS 550 RWD,Los Angeles,CA,"17,924","$29,999",Black,Designo Saffron Beige,18,27,4.6L V-8 Gas Turbocharged,Automatic,RWD,Gas,"['Premium Wheels', 'Premium Audio', 'Premium Seat Material', 'Parking Sensors', 'Moonroof', 'Navigation', 'Multi-Zone Climate Control', 'Bluetooth']","['0 reported accidents', 'Personal or Rental Use', 'Clean', '3']",False
17,2017,Hyundai,['Tucson'],Sport FWD,Inglewood,CA,"54,467","$15,000",Dazzling White,Beige,25,30,1.6L Inline-4 Gas Turbocharged,Automatic,FWD,Gas,"['Premium Wheels', 'Front Heated Seats', 'Backup Camera', 'Power Trunk/Liftgate', 'Blind Spot System', 'Bluetooth']","['0 reported accidents', 'Personal or Rental Use', 'Clean', '1']",False
18,2012,BMW,"['7', 'Series']",740Li,Los Angeles,CA,"80,860","$18,999",Mineral White Metallic,Black,17,25,3.0L Inline-6 Gas Turbocharged,Automatic,RWD,Gas,"['Premium Wheels', 'Premium Audio', 'Premium Seat Material', 'Multi-Zone Climate Control', 'Parking Sensors', 'Moonroof', 'Navigation', 'Front Heated Seats', 'Backup Camera', 'Bluetooth']","['0 reported accidents', 'Fleet or Mixed Use', 'Clean', '3']",False
19,2016,Jaguar,['XF'],Premium 35t RWD,Los Angeles,CA,"75,217","$17,500",Storm Gray,Black,20,30,3.0L V-6 Gas Supercharged,Automatic,RWD,Gas,"['Premium Wheels', 'Premium Audio', 'Multi-Zone Climate Control', 'Bluetooth', 'Moonroof', 'Premium Seat Material', 'Backup Camera']","['0 reported accidents', 'Personal or Rental Use', 'Clean', '1']",False
20,2014,Toyota,['Prius'],Four,North Hollywood,CA,"102,826","$10,995",Silver,Gray,51,48,1.8L Inline-4 Hybrid,Automatic,FWD,Hybrid,[],"['0 reported accidents', 'Personal or Rental Use', 'Clean', '1']",False
21,2013,Toyota,['Prius'],Three,Los Angeles,CA,"108,360","$9,495",Sea Glass Pearl,Misty Gray,51,48,1.8L Inline-4 Hybrid,Automatic,FWD,Hybrid,"['Premium Wheels', 'Backup Camera', 'Navigation', 'Bluetooth']","['0 reported accidents', 'Personal or Rental Use', 'Clean', '3']",False
22,2017,Porsche,['Cayenne'],S E-Hybrid AWD,Los Angeles,CA,"15,914","$54,995",Black,Black,N,cty,3.0L V-6 Plug-In Hybrid Supercharged,Automatic,AWD,Plug-In Hybrid,"['Premium Wheels', 'Power Trunk/Liftgate', 'Navigation', 'Multi-Zone Climate Control', 'Bluetooth', 'Moonroof', 'Premium Audio', 'Premium Seat Material', 'Parking Sensors']","['0 reported accidents', 'Personal or Rental Use', 'Clean', '1']",True
23,2019,Nissan,['Rogue'],SL FWD,Inglewood,CA,"39,280","$17,000",Magnetic Black Pearl,Charcoal,26,33,2.5L Inline-4 Gas,Automatic,FWD,Gas,"['Premium Wheels', 'Premium Audio', 'Premium Seat Material', 'Remote Engine Start', 'Adaptive Cruise Control', 'Lane Keep Assist', 'Bluetooth', 'Power Trunk/Liftgate', 'Navigation', 'Front Heated Seats', 'Multi-Zone Climate Control', 'Blind Spot System', 'Backup Camera']","['0 reported accidents', 'Personal or Rental Use', 'Clean', '1']",False
24,2017,Toyota,['Camry'],LE I4 Automatic,Marina Del Rey,CA,"7,344","$16,998",Blue Streak Metallic,Unknown,24,33,2.5L Inline-4 Gas,Automatic,FWD,Gas,"['Backup Camera', 'Bluetooth']","['0 reported accidents', 'Personal or Rental Use', 'Clean', '1']",False
25,2011,Ford,['Mustang'],V6 Coupe,Santa Monica,CA,"30,700","$12,000",Black,Unknown,19,29,3.7L V-6 Gas,Manual,RWD,Gas,[],"['4 reported accidents', 'Personal or Rental Use', 'Clean', '1']",False
26,2015,BMW,"['5', 'Series']",535i Sedan RWD,Sherman Oaks,CA,"91,908","$17,395",Black Sapphire Metallic,Black,20,31,3.0L Inline-6 Gas Turbocharged,Automatic,RWD,Gas,"['Premium Wheels', 'Navigation', 'Multi-Zone Climate Control', 'Moonroof', 'Premium Seat Material', 'Bluetooth']","['0 reported accidents', 'Personal or Rental Use', 'Clean', '1']",False
27,2014,Toyota,['Corolla'],LE CVT,Los Angeles,CA,"103,625","$7,999",Classic Silver Metallic,Steel Gray,29,38,1.8L Inline-4 Gas,Automatic,FWD,Gas,"['Backup Camera', 'Bluetooth']","['Frame Damaged', 'Fleet or Mixed Use', 'Clean', '2']",False
28,2015,Honda,['Civic'],LX Sedan CVT,Sherman Oaks,CA,"37,070","$10,998",Gray,Unknown,30,39,1.8L Inline-4 Gas,Automatic,FWD,Gas,"['Premium Wheels', 'Bluetooth', 'Backup Camera']","['1 reported accidents', 'Personal or Rental Use', 'Clean', '1']",False
29,2012,Toyota,['Prius'],One,Los Angeles,CA,"47,539","$9,250",Silver,Black,51,48,1.8L Inline-4 Hybrid,Automatic,FWD,Hybrid,[],"['1 reported accidents', 'Fleet or Mixed Use', 'Clean', '3']",False
30,2019,Nissan,['Rogue'],SL AWD,Inglewood,CA,"37,520","$18,500",Magnetic Black Pearl,Charcoal,25,32,2.5L Inline-4 Gas,Automatic,AWD,Gas,"['Premium Wheels', 'Premium Audio', 'Premium Seat Material', 'Remote Engine Start', 'Adaptive Cruise Control', 'Lane Keep Assist', 'Bluetooth', 'Power Trunk/Liftgate', 'Navigation', 'Front Heated Seats', 'Multi-Zone Climate Control', 'Blind Spot System', 'Backup Camera']","['0 reported accidents', 'Personal or Rental Use', 'Clean', '1']",False
31,2016,Kia,['Optima'],LX,Santa Monica,CA,"39,101","$11,992",Snow White Pearl,Black,24,35,2.4L Inline-4 Gas,Automatic,FWD,Gas,"['Premium Wheels', 'Bluetooth', 'Backup Camera']","['0 reported accidents', 'Personal or Rental Use', 'Clean', '1']",False
32,2013,Lexus,['ES'],ES 350,Santa Monica,CA,"58,200","$16,000",Nebula Gray Pearl,Unknown,21,31,3.5L V-6 Gas,Automatic,FWD,Gas,"['Premium Wheels', 'Premium Seat Material', 'Moonroof']","['0 reported accidents', 'Personal or Rental Use', 'Clean', '1']",False
33,2012,Ford,['Focus'],SEL Hatchback,North Hollywood,CA,"92,504","$4,950",Red Candy Metallic,Charcoal Black,28,38,2.0L Inline-4 Gas,Automatic,FWD,Gas,"['Premium Wheels', 'Bluetooth', 'Multi-Zone Climate Control']","['0 reported accidents', 'Fleet or Mixed Use', 'Clean', '2']",False
34,2018,Audi,['Q5'],Premium Plus,Santa Monica,CA,"29,655","$32,694",Ibis White,Black,23,27,2.0L Inline-4 Gas Turbocharged,Automatic,AWD,Gas,[],"['0 reported accidents', 'Personal or Rental Use', 'Clean', '1']",False
35,2004,Maybach,['57'],4dr Sedan SWB,Studio City,CA,"61,586","$67,991",Himalayas Dark Grey,Burgundy,12,17,5.5L V-12 Gas Turbocharged,Automatic,RWD,Gas,"['Premium Wheels', 'Premium Audio', 'Premium Seat Material', 'Multi-Zone Climate Control', 'Parking Sensors', 'Moonroof', 'Navigation', 'Front Heated Seats', 'Adaptive Cruise Control']","['0 reported accidents', 'Personal or Rental Use', 'Clean', '0']",False
36,2008,MINI,['Cooper'],S Convertible,Santa Monica,CA,"40,000","$7,900",White Silver Metallic,Unknown,21,29,1.6L Inline-4 Gas Turbocharged,Automatic,FWD,Gas,"['Premium Wheels', 'Parking Sensors', 'Premium Seat Material']","['0 reported accidents', 'Personal or Rental Use', 'Clean', '1']",False
37,2016,Toyota,['Camry'],SE I4 Automatic,Los Angeles,CA,"91,842","$12,495",Super White,Ash/Black,25,35,2.5L Inline-4 Gas,Automatic,FWD,Gas,[],"['0 reported accidents', 'Personal or Rental Use', 'Clean', '3']",False
38,2019,Toyota,['Sienna'],LE 8-Passenger FWD,Marina Del Rey,CA,"32,759","$22,988",Super White,Unknown,19,27,3.5L V-6 Gas,Automatic,FWD,Gas,"['Premium Wheels', 'Multi-Zone Climate Control', 'Lane Keep Assist', 'Bluetooth', 'Third Row Seating', 'Adaptive Cruise Control', 'Backup Camera']","['0 reported accidents', 'Personal or Rental Use', 'Clean', '1']",False
39,2008,Mazda,['Tribute'],Grand Touring I4 Hybrid 4WD Automatic,Santa Monica,CA,"137,824","$4,500",Green,Unknown,29,27,2.3L Inline-4 Hybrid,Automatic,4WD,Hybrid,[],"['0 reported accidents', 'Personal or Rental Use', 'Clean', '0']",False
40,2018,Ford,['Focus'],SE Sedan,Santa Monica,CA,"31,659","$9,994",Ingot Silver,Medium Light Stone,30,40,2.0L Inline-4 Gas Turbocharged,Automatic,FWD,Gas,"['Premium Wheels', 'Bluetooth', 'Backup Camera']","['0 reported accidents', 'Personal or Rental Use', 'Clean', '1']",False
41,2011,Honda,['Accord'],LX Sedan I4 Automatic,Studio City,CA,"163,298","$5,500",Gray,Black,23,34,2.4L Inline-4 Gas,Automatic,FWD,Gas,[],"['2 reported accidents', 'Personal or Rental Use', 'Clean', '1']",False
42,2019,Nissan,['Rogue'],SV AWD,Inglewood,CA,"33,342","$16,500",Magnetic Black Pearl,Charcoal,25,32,2.5L Inline-4 Gas,Automatic,AWD,Gas,"['Premium Wheels', 'Front Heated Seats', 'Multi-Zone Climate Control', 'Lane Keep Assist', 'Bluetooth', 'Power Trunk/Liftgate', 'Remote Engine Start', 'Blind Spot System', 'Backup Camera']","['0 reported accidents', 'Personal or Rental Use', 'Clean', '1']",False
43,2015,BMW,"['3', 'Series']",328i Sedan RWD (SULEV),Los Angeles,CA,"67,600","$16,495",Mineral White Metallic,Black,23,35,2.0L Inline-4 Gas Turbocharged,Automatic,RWD,Gas,"['Premium Wheels', 'Multi-Zone Climate Control', 'Premium Seat Material', 'Bluetooth']","['0 reported accidents', 'Personal or Rental Use', 'Clean', '2']",False
44,2009,BMW,['X3'],xDrive30i AWD,Santa Monica,CA,"81,000","$7,195",Space Gray Metallic,Unknown,16,23,3.0L Inline-6 Gas,Automatic,AWD,Gas,"['Premium Wheels', 'Premium Seat Material']","['0 reported accidents', 'Personal or Rental Use', 'Clean', '1']",False
45,2017,Ford,['F-150'],XL Regular Cab 6.5' Box RWD,Los Angeles,CA,"92,285","$14,999",Oxford White,Dark Earth Gray,18,25,3.5L V-6 Gas,Automatic,RWD,Gas,[],"['Frame Damaged', 'Fleet or Mixed Use', 'Clean', '2']",False
46,2014,Audi,['allroad'],Premium Plus,Santa Monica,CA,"72,119","$16,999",Cuvee Silver Metallic,Beige/Brown,20,27,2.0L Inline-4 Gas Turbocharged,Automatic,AWD,Gas,"['Premium Wheels', 'Power Trunk/Liftgate', 'Front Heated Seats', 'Bluetooth', 'Moonroof', 'Premium Seat Material', 'Multi-Zone Climate Control']","['1 reported accidents', 'Personal or Rental Use', 'Clean', '2']",False
47,2001,Lincoln,"['Town', 'Car']",Executive,Los Angeles,CA,"161,455","$5,900",Black,Deep Charcoal,18,25,4.6L V-8 Gas,Automatic,RWD,Gas,"['Premium Wheels', 'Premium Seat Material']","['0 reported accidents', 'Personal or Rental Use', 'Clean', '3']",False
48,2019,Dodge,['Journey'],GT AWD,Venice,CA,"34,709","$17,990",Billet Clearcoat,Black/Red,16,24,3.6L V-6 Gas,Automatic,AWD,Gas,"['Premium Wheels', 'Premium Seat Material', 'Third Row Seating', 'Multi-Zone Climate Control', 'Bluetooth', 'Premium Audio', 'Front Heated Seats', 'Remote Engine Start', 'Backup Camera']","['0 reported accidents', 'Fleet or Mixed Use', 'Clean', '1']",False
49,2014,Honda,['Crosstour'],EX-L I4 FWD,Los Angeles,CA,"72,430","$12,995",Alabaster Silver Metallic,Black,22,31,2.4L Inline-4 Gas,Automatic,FWD,Gas,[],"['1 reported accidents', 'Personal or Rental Use', 'Clean', '2']",False
50,2015,Tesla,"['Model', 'S']",85 RWD,Santa Monica,CA,"46,702","$37,995",White,White,88,90,L - Electric,Automatic,RWD,Electric,[],"['0 reported accidents', 'Fleet or Mixed Use', 'Clean', '1']",False
51,2010,Lexus,['RX'],RX 350 FWD,Sherman Oaks,CA,"128,008","$9,495",Silver,Black,18,25,3.5L V-6 Gas,Automatic,FWD,Gas,"['Premium Wheels', 'Multi-Zone Climate Control', 'Premium Audio', 'Bluetooth']","['1 reported accidents', 'Personal or Rental Use', 'Clean', '2']",False
52,2017,Mercedes-Benz,['E-Class'],E 300 Luxury Sedan RWD,Los Angeles,CA,"17,166","$31,999",Metallic Blue,Beige,22,30,2.0L Inline-4 Gas Turbocharged,Automatic,RWD,Gas,[],"['0 reported accidents', 'Personal or Rental Use', 'Clean', '1']",False
53,2004,Mercedes-Benz,['S-Class'],S 500 Sedan RWD,Sherman Oaks,CA,"106,401","$7,995",Alabaster White,Tan,16,24,5.0L V-8 Gas,Automatic,RWD,Gas,"['Premium Wheels', 'Premium Audio', 'Premium Seat Material', 'Multi-Zone Climate Control', 'Moonroof', 'Navigation', 'Front Heated Seats']","['0 reported accidents', 'Personal or Rental Use', 'Clean', '1']",False
54,2020,Toyota,['Corolla'],LE CVT,Marina Del Rey,CA,"26,803","$14,544",Black Sand Pearl,Unknown,30,38,1.8L Inline-4 Gas,Automatic,FWD,Gas,"['Adaptive Cruise Control', 'Backup Camera', 'Lane Keep Assist', 'Bluetooth']","['0 reported accidents', 'Personal or Rental Use', 'Clean', '1']",False
55,2019,Nissan,['Rogue'],SL AWD,Inglewood,CA,"41,805","$18,500",Magnetic Black Pearl,Charcoal,25,32,2.5L Inline-4 Gas,Automatic,AWD,Gas,"['Premium Wheels', 'Premium Audio', 'Premium Seat Material', 'Remote Engine Start', 'Adaptive Cruise Control', 'Lane Keep Assist', 'Bluetooth', 'Power Trunk/Liftgate', 'Navigation', 'Front Heated Seats', 'Multi-Zone Climate Control', 'Blind Spot System', 'Backup Camera']","['0 reported accidents', 'Personal or Rental Use', 'Clean', '1']",False
56,2018,Porsche,"['718', 'Cayman']",GTS Coupe,Los Angeles,CA,"41,842","$58,495",Black,Black,19,25,2.5L Flat-4 Gas Turbocharged,Manual,RWD,Gas,"['Premium Wheels', 'Backup Camera', 'Bluetooth', 'Premium Seat Material', 'Parking Sensors']","['0 reported accidents', 'Personal or Rental Use', 'Clean', '1']",True
57,2013,MINI,['Hardtop'],S Hardtop 2-Door,Santa Monica,CA,"35,813","$11,392",Chili Red,Unknown,26,35,1.6L Inline-4 Gas Turbocharged,Automatic,FWD,Gas,"['Premium Wheels', 'Bluetooth', 'Premium Seat Material']","['0 reported accidents', 'Personal or Rental Use', 'Clean', '3']",False
58,2016,Honda,['Civic'],LX Sedan CVT,Santa Monica,CA,"33,623","$13,894",Crystal Black Pearl,Gray,31,41,2.0L Inline-4 Gas,Automatic,FWD,Gas,"['Premium Wheels', 'Bluetooth', 'Backup Camera']","['0 reported accidents', 'Personal or Rental Use', 'Clean', '1']",False
59,2017,Honda,['Civic'],EX Sedan CVT,Santa Monica,CA,"20,518","$15,821",Modern Steel Metallic,Gray,31,40,2.0L Inline-4 Gas,Automatic,FWD,Gas,"['Premium Wheels', 'Remote Engine Start', 'Bluetooth', 'Moonroof', 'Backup Camera']","['0 reported accidents', 'Personal or Rental Use', 'Clean', '1']",True
60,2018,Audi,['A4'],ultra Premium FWD S tronic,Santa Monica,CA,"22,908","$24,793",Brilliant Black,Black,27,37,2.0L Inline-4 Gas Turbocharged,Automatic,FWD,Gas,[],"['0 reported accidents', 'Personal or Rental Use', 'Clean', '1']",False
61,2004,BMW,['Z4'],Roadster 3.0i,Sherman Oaks,CA,"91,820","$7,995",Sterling Grey Metallic,Black,21,29,3.0L Inline-6 Gas,Manual,RWD,Gas,"['Premium Wheels', 'Premium Seat Material', 'Premium Audio']","['0 reported accidents', 'Personal or Rental Use', 'Clean', '2']",False
62,2007,BMW,"['3', 'Series']",328i Sedan,Sherman Oaks,CA,"80,247","$8,895",Arctic Metallic,Black,20,29,3.0L Inline-6 Gas,Automatic,RWD,Gas,"['Premium Wheels', 'Premium Audio', 'Multi-Zone Climate Control', 'Moonroof', 'Premium Seat Material']","['0 reported accidents', 'Personal or Rental Use', 'Clean', '1']",False
63,2015,Nissan,['Altima'],2.5 S,Los Angeles,CA,"76,751","$8,999",Gun Metallic,Charcoal,27,38,2.5L Inline-4 Gas,Automatic,FWD,Gas,"['Premium Wheels', 'Bluetooth']","['0 reported accidents', 'Personal or Rental Use', 'Clean', '3']",False
64,2011,Porsche,['Cayenne'],Tiptronic AWD,Los Angeles,CA,"60,224","$20,399",Gray,Black,16,23,3.6L V-6 Gas,Automatic,AWD,Gas,[],"['0 reported accidents', 'Personal or Rental Use', 'Clean', '3']",False
65,2018,Audi,['A4'],ultra Premium FWD S tronic,Santa Monica,CA,"18,254","$25,094",Ibis White,Black,27,37,2.0L Inline-4 Gas Turbocharged,Automatic,FWD,Gas,[],"['0 reported accidents', 'Personal or Rental Use', 'Clean', '1']",True
66,2015,Nissan,['Sentra'],SR CVT,Inglewood,CA,"79,710","$7,950",Gun Metallic,Charcoal,29,39,1.8L Inline-4 Gas,Automatic,FWD,Gas,"['Premium Wheels', 'Premium Seat Material', 'Backup Camera', 'Navigation', 'Front Heated Seats', 'Bluetooth']","['Frame Damaged', 'Personal or Rental Use', 'Clean', '2']",False
67,2018,Audi,['Q5'],Premium Plus,Santa Monica,CA,"26,683","$32,694",Brilliant Black,Black,23,27,2.0L Inline-4 Gas Turbocharged,Automatic,AWD,Gas,[],"['0 reported accidents', 'Personal or Rental Use', 'Clean', '1']",False
68,2018,Audi,['Q5'],Premium,Santa Monica,CA,"24,871","$29,394",Ibis White,Black,23,27,2.0L Inline-4 Gas Turbocharged,Automatic,AWD,Gas,[],"['0 reported accidents', 'Personal or Rental Use', 'Clean', '1']",False
69,2018,Audi,['A4'],ultra Premium FWD S tronic,Santa Monica,CA,"28,042","$24,194",Monsoon Gray Metallic,Nougat Brown/Black,27,37,2.0L Inline-4 Gas Turbocharged,Automatic,FWD,Gas,[],"['0 reported accidents', 'Personal or Rental Use', 'Clean', '1']",True
70,2018,Subaru,['Forester'],2.5i Premium CVT,Los Angeles,CA,"45,046","$17,999",Ice Silver Metallic,Gray,26,32,2.5L Flat-4 Gas,Automatic,AWD,Gas,"['Premium Wheels', 'Power Trunk/Liftgate', 'Adaptive Cruise Control', 'Lane Keep Assist', 'Bluetooth', 'Moonroof', 'Front Heated Seats', 'Blind Spot System', 'Backup Camera']","['0 reported accidents', 'Personal or Rental Use', 'Clean', '1']",False
71,2008,Lexus,['ES'],ES 350,Santa Monica,CA,"102,000","$9,559",White,Unknown,19,27,3.5L V-6 Gas,Automatic,FWD,Gas,"['Premium Wheels', 'Multi-Zone Climate Control', 'Moonroof']","['0 reported accidents', 'Personal or Rental Use', 'Clean', '2']",False
72,2014,Nissan,['Versa'],Note 1.6 S Manual,North Hollywood,CA,"53,858","$5,950",Brilliant Silver Metallic,Charcoal,27,36,1.6L Inline-4 Gas,Manual,FWD,Gas,[],"['0 reported accidents', 'Fleet or Mixed Use', 'Clean', '2']",False
73,2014,Porsche,['Panamera'],GTS,Van Nuys,CA,"70,265","$47,995",Rhodium Silver Metallic,Black,16,24,4.8L V-8 Gas,Automatic,AWD,Gas,"['Premium Wheels', 'Power Trunk/Liftgate', 'Premium Seat Material', 'Multi-Zone Climate Control', 'Bluetooth', 'Moonroof', 'Navigation', 'Front Heated Seats', 'Parking Sensors']","['0 reported accidents', 'Personal or Rental Use', 'Clean', '1']",False
74,2018,Audi,['Q5'],Premium Plus,Santa Monica,CA,"11,110","$35,294",Moonlight Blue Metallic,Atlas Beige,23,27,2.0L Inline-4 Gas Turbocharged,Automatic,AWD,Gas,[],"['0 reported accidents', 'Personal or Rental Use', 'Clean', '1']",False
75,2007,Lexus,['SC'],SC 430 Convertible,Los Angeles,CA,"149,155","$10,995",Black Sapphire,Tan,18,25,4.3L V-8 Gas,Automatic,RWD,Gas,"['Premium Wheels', 'Navigation', 'Front Heated Seats', 'Premium Audio', 'Premium Seat Material']","['0 reported accidents', 'Personal or Rental Use', 'Clean', '2']",False
76,2014,Jaguar,['XF'],I4 Turbo RWD,Van Nuys,CA,"71,447","$13,988",Ebony,London Tan/Warm Charcoal,19,30,2.0L Inline-4 Gas Turbocharged,Automatic,RWD,Gas,"['Premium Wheels', 'Premium Seat Material', 'Multi-Zone Climate Control', 'Bluetooth', 'Moonroof', 'Front Heated Seats', 'Parking Sensors']","['0 reported accidents', 'Personal or Rental Use', 'Clean', '2']",False
77,2012,Hyundai,['Sonata'],GLS 2.4L Automatic,Los Angeles,CA,"70,844","$7,999",Midnight Black,Gray,24,35,2.4L Inline-4 Gas,Automatic,FWD,Gas,['Bluetooth'],"['0 reported accidents', 'Personal or Rental Use', 'Clean', '1']",False
78,2017,Nissan,['Sentra'],SV CVT,Los Angeles,CA,"80,530","$7,499",Brilliant Silver,Charcoal,29,37,1.8L Inline-4 Gas,Automatic,FWD,Gas,"['Backup Camera', 'Bluetooth']","['0 reported accidents', 'Fleet or Mixed Use', 'Clean', '3']",False
79,2008,Jaguar,['XJ'],XJ8 L,Van Nuys,CA,"131,511","$9,995",Indigo Blue,Tan,16,25,4.2L V-8 Gas,Automatic,RWD,Gas,"['Premium Wheels', 'Premium Seat Material', 'Multi-Zone Climate Control', 'Bluetooth', 'Moonroof', 'Front Heated Seats', 'Parking Sensors']","['0 reported accidents', 'Personal or Rental Use', 'Clean', '2']",False
80,2018,Audi,['A4'],ultra Premium FWD S tronic,Santa Monica,CA,"15,297","$25,394",Brilliant Black,Black,27,37,2.0L Inline-4 Gas Turbocharged,Automatic,FWD,Gas,[],"['0 reported accidents', 'Personal or Rental Use', 'Clean', '1']",True
81,1999,Mercedes-Benz,['SL'],SL 500,Sherman Oaks,CA,"80,000","$8,995",Magma Red,Shell,16,23,5.0L V-8 Gas,Automatic,RWD,Gas,"['Premium Wheels', 'Premium Seat Material', 'Premium Audio']","['0 reported accidents', 'Personal or Rental Use', 'Clean', '2']",False
