,year,make,model,sub_model,city,state,mileage,price,exterior_color,interior_color,mpg_city,mpg_hwy,engine,transmission,drive_type,fuel_type,popular_feature,vehicle_history,cpo,url,img
2,2014,Ram,['1500'],"SLT 6'4"" Quad Cab Box 2WD",Santa Monica,CA,"76,602","$18,991",Bright Silver Metallic Clearcoat,Diesel Gray/Black,17,25,5.7L V-8 Gas,Automatic,RWD,Gas,"['Premium Wheels', 'Bluetooth']","['0 reported accidents', 'Fleet or Mixed Use', 'Clean', '5']",False,https://www.truecar.com/used-cars-for-sale/listing/1C6RR6GT5ES408433/2014-ram-1500/,https://listings-prod.tcimg.net/listings/182547/33/84/1C6RR6GT5ES408433/OVAZ2Z5NR7K25CQIVX5A4W5A74-cr-360.jpg
3,2012,Jeep,['Wrangler'],Unlimited Sport 4WD,Los Angeles,CA,"133,333","$17,495",Black,Black Interior,16,21,3.6L V-6 Gas,Automatic,4WD,Gas,[],"['0 reported accidents', 'Personal or Rental Use', 'Clean', '3']",False,https://www.truecar.com/used-cars-for-sale/listing/1C4BJWDG0CL178820/2012-jeep-wrangler/,https://listings-prod.tcimg.net/listings/87910/20/88/1C4BJWDG0CL178820/A2ANIV5MB5AP5XU6LFEMU362RM-cr-360.jpg
0,2019,Nissan,['Altima'],S FWD,Van Nuys,CA,"37,438","$14,988",Glacier White,Charcoal,28,39,2.5L Inline-4 Gas,Automatic,FWD,Gas,"['Remote Engine Start', 'Bluetooth', 'Backup Camera']","['0 reported accidents', 'Personal or Rental Use', 'Clean', '1']",False,https://www.truecar.com/used-cars-for-sale/listing/1N4BL4BV5KC202968/2019-nissan-altima/,https://listings-prod.tcimg.net/listings/146965/68/29/1N4BL4BV5KC202968/WH6B3NKNN3TNXPNELFRTGZDB6U-cr-360.jpg
1,2019,Nissan,['Altima'],S FWD,Van Nuys,CA,"36,760","$14,988",Glacier White,Charcoal,28,39,2.5L Inline-4 Gas,Automatic,FWD,Gas,"['Remote Engine Start', 'Bluetooth', 'Backup Camera']","['0 reported accidents', 'Personal or Rental Use', 'Clean', '1']",False,https://www.truecar.com/used-cars-for-sale/listing/1N4BL4BV4KC153018/2019-nissan-altima/,https://listings-prod.tcimg.net/listings/146965/18/30/1N4BL4BV4KC153018/74Z7NXK3TBM25ENKKI6Q46WISI-cr-360.jpg
2,2008,MINI,['Cooper'],S Convertible,Santa Monica,CA,"40,000","$7,900",White Silver Metallic,Unknown,21,29,1.6L Inline-4 Gas Turbocharged,Automatic,FWD,Gas,"['Premium Wheels', 'Parking Sensors', 'Premium Seat Material']","['0 reported accidents', 'Personal or Rental Use', 'Clean', '1']",False,https://www.truecar.com/used-cars-for-sale/listing/WMWRH33568TU81291/2008-mini-cooper/,https://listings-prod.tcimg.net/listings/176989/91/12/WMWRH33568TU81291/5M2QHJU54VGVU5H4I7FWIXOVLQ-cr-360.jpg
0,2019,Nissan,['Altima'],S FWD,Van Nuys,CA,"36,006","$14,988",Brilliant Silver Metallic,Charcoal,28,39,2.5L Inline-4 Gas,Automatic,FWD,Gas,"['Remote Engine Start', 'Bluetooth', 'Backup Camera']","['0 reported accidents', 'Personal or Rental Use', 'Clean', '1']",False,https://www.truecar.com/used-cars-for-sale/listing/1N4BL4BV7KC219996/2019-nissan-altima/,https://listings-prod.tcimg.net/listings/146965/96/99/1N4BL4BV7KC219996/7LMTWINTD6CYQA7MJI6COPOTRI-cr-360.jpg
1,2014,Toyota,['Corolla'],LE CVT,Los Angeles,CA,"103,625","$7,999",Classic Silver Metallic,Steel Gray,29,38,1.8L Inline-4 Gas,Automatic,FWD,Gas,"['Backup Camera', 'Bluetooth']","['Frame Damaged', 'Fleet or Mixed Use', 'Clean', '2']",False,https://www.truecar.com/used-cars-for-sale/listing/5YFBURHE6EP142951/2014-toyota-corolla/,https://listings-prod.tcimg.net/listings/87910/51/29/5YFBURHE6EP142951/WHC6TO4HVV63RZYAWF3HR3S4EY-cr-360.jpg
2,2017,Hyundai,['Tucson'],Sport FWD,Inglewood,CA,"54,467","$15,000",Dazzling White,Beige,25,30,1.6L Inline-4 Gas Turbocharged,Automatic,FWD,Gas,"['Premium Wheels', 'Front Heated Seats', 'Backup Camera', 'Power Trunk/Liftgate', 'Blind Spot System', 'Bluetooth']","['0 reported accidents', 'Personal or Rental Use', 'Clean', '1']",False,https://www.truecar.com/used-cars-for-sale/listing/KM8J33A21HU551471/2017-hyundai-tucson/,https://listings-prod.tcimg.net/listings/213192/71/14/KM8J33A21HU551471/4HM4G2XYNUGFVOYT5PP2NVNCA4-cr-360.jpg
0,2019,Nissan,['Altima'],S FWD,Van Nuys,CA,"35,986","$14,988",Super Black,Charcoal,28,39,2.5L Inline-4 Gas,Automatic,FWD,Gas,"['Remote Engine Start', 'Bluetooth', 'Backup Camera']","['0 reported accidents', 'Personal or Rental Use', 'Clean', '1']",False,https://www.truecar.com/used-cars-for-sale/listing/1N4BL4BV7KC124824/2019-nissan-altima/,https://listings-prod.tcimg.net/listings/146965/24/48/1N4BL4BV7KC124824/MANG4CFLQFESH2DY73WY3XY6BE-cr-360.jpg
1,2011,MINI,['Hardtop'],Hardtop 2-Door,Santa Monica,CA,"77,111","$6,995",Brown,Carbon Black,29,37,1.6L Inline-4 Gas,Automatic,FWD,Gas,"['Premium Wheels', 'Premium Seat Material']","['0 reported accidents', 'Fleet or Mixed Use', 'Clean', '3']",False,https://www.truecar.com/used-cars-for-sale/listing/WMWSU3C56BTX96354/2011-mini-hardtop/,https://listings-prod.tcimg.net/listings/26293/54/63/WMWSU3C56BTX96354/6VYFSOFBGJBQEHJXJPMFIUYN4U-cr-360.jpg
2,2018,Toyota,['RAV4'],LE FWD,Marina Del Rey,CA,"19,557","$18,988",Black,Unknown,23,30,2.5L Inline-4 Gas,Automatic,FWD,Gas,"['Premium Wheels', 'Lane Keep Assist', 'Bluetooth', 'Adaptive Cruise Control', 'Backup Camera']","['0 reported accidents', 'Personal or Rental Use', 'Clean', '1']",False,https://www.truecar.com/used-cars-for-sale/listing/2T3ZFREV3JW432111/2018-toyota-rav4/,https://listings-prod.tcimg.net/listings/30673/11/21/2T3ZFREV3JW432111/2SL23YPZ4XQ5KNYNXLHOP7NR4Q-cr-360.jpg
0,2018,Toyota,['Camry'],SE I4 Automatic,Van Nuys,CA,"39,801","$17,988",Super White,Black,28,39,2.5L Inline-4 Gas,Automatic,FWD,Gas,"['Premium Wheels', 'Adaptive Cruise Control', 'Backup Camera', 'Premium Seat Material', 'Lane Keep Assist', 'Bluetooth']","['0 reported accidents', 'Personal or Rental Use', 'Clean', '2']",False,https://www.truecar.com/used-cars-for-sale/listing/JTNB11HK9J3050411/2018-toyota-camry/,https://listings-prod.tcimg.net/listings/146965/11/04/JTNB11HK9J3050411/UOT62MUEPEG2JYX6YREBMPKZGI-cr-360.jpg
1,2019,Nissan,['Sentra'],SV CVT,Los Angeles,CA,"31,054","$13,000",Deep Blue Pearl,Charcoal,29,37,1.8L Inline-4 Gas,Automatic,FWD,Gas,"['Premium Wheels', 'Backup Camera', 'Multi-Zone Climate Control', 'Bluetooth']","['0 reported accidents', 'Personal or Rental Use', 'Clean', '1']",False,https://www.truecar.com/used-cars-for-sale/listing/3N1AB7APXKY352937/2019-nissan-sentra/,https://listings-prod.tcimg.net/listings/4441/37/29/3N1AB7APXKY352937/4Q4TTSCVDVYETERSGGYVDXSG5E-cr-360.jpg
0,2015,BMW,"['3', 'Series']",335i Sedan RWD,North Hollywood,CA,"100,151","$13,995",Mineral White Metallic,Black,21,32,3.0L Inline-6 Gas Turbocharged,Automatic,RWD,Gas,"['Premium Wheels', 'Premium Seat Material', 'Bluetooth', 'Moonroof', 'Multi-Zone Climate Control']","['0 reported accidents', 'Personal or Rental Use', 'Clean', '2']",False,https://www.truecar.com/used-cars-for-sale/listing/WBA3A9G52FNS66404/2015-bmw-3-series/,https://listings-prod.tcimg.net/listings/119508/04/64/WBA3A9G52FNS66404/NAIG2H455FKTZFQL2SQEDB2MLM-cr-360.jpg
