,year,make,model,sub_model,city,state,mileage,price,exterior_color,interior_color,mpg_city,mpg_hwy,engine,transmission,drive_type,fuel_type,popular_feature,vehicle_history,cpo,url,img
0,2020,GMC,['Terrain'],SLT AWD,Jersey City,NJ,"35,288","$21,697",Ebony Twilight Metallic,Jet Black,25,28,1.5L Inline-4 Gas Turbocharged,Automatic,AWD,Gas,"['Premium Wheels', 'Front Heated Seats', 'Multi-Zone Climate Control', 'Backup Camera', 'Premium Seat Material', 'Remote Engine Start', 'Lane Keep Assist', 'Bluetooth']","['0 reported accidents', 'Personal or Rental Use', 'Clean', '1']",False,https://www.truecar.com/used-cars-for-sale/listing/3GKALVEV7LL102050/2020-gmc-terrain/,https://listings-prod.tcimg.net/listings/83522/50/20/3GKALVEV7LL102050/V2QMO3GWBFGA7UC6BNAUPMHJTM-cr-360.jpg
1,2019,Dodge,['Charger'],GT RWD,Elmhurst,NY,"40,192","$18,695",Pitch Black Clearcoat,Black,19,30,3.6L V-6 Gas,Automatic,RWD,Gas,"['Premium Wheels', 'Remote Engine Start', 'Backup Camera', 'Bluetooth', 'Premium Audio', 'Multi-Zone Climate Control', 'Parking Sensors']","['0 reported accidents', 'Personal or Rental Use', 'Clean', '1']",False,https://www.truecar.com/used-cars-for-sale/listing/2C3CDXHG9KH678096/2019-dodge-charger/,https://listings-prod.tcimg.net/listings/143272/96/80/2C3CDXHG9KH678096/MZVKTJYRQFCCRNZ26KTZMOYFJY-cr-360.jpg
2,2017,Honda,['Civic'],Touring Sedan CVT,Astoria,NY,"103,176","$11,999",Gray,Black,32,42,1.5L Inline-4 Gas Turbocharged,Automatic,FWD,Gas,"['Premium Wheels', 'Premium Audio', 'Premium Seat Material', 'Remote Engine Start', 'Adaptive Cruise Control', 'Lane Keep Assist', 'Bluetooth', 'Moonroof', 'Navigation', 'Front Heated Seats', 'Multi-Zone Climate Control', 'Blind Spot System', 'Backup Camera']","['0 reported accidents', 'Fleet or Mixed Use', 'Clean', '1']",False,https://www.truecar.com/used-cars-for-sale/listing/19XFC1F96HE203992/2017-honda-civic/,https://listings-prod.tcimg.net/listings/113179/92/39/19XFC1F96HE203992/M4ZGRNPKIKD6NM6JUL3JYNWVQI-cr-360.jpg
0,2015,Nissan,['Sentra'],SV CVT,Brooklyn,NY,"115,115","$5,950",Maroon,Black,29,39,1.8L Inline-4 Gas,Automatic,FWD,Gas,[],"['0 reported accidents', 'Fleet or Mixed Use', 'Clean', '2']",False,https://www.truecar.com/used-cars-for-sale/listing/3N1AB7AP1FY244115/2015-nissan-sentra/,https://listings-prod.tcimg.net/listings/105145/15/41/3N1AB7AP1FY244115/JORQ6SWY3CPAB6R4JHYUFZIXPQ-cr-360.jpg
1,2017,Toyota,['Camry'],SE I4 Automatic,Astoria,NY,"79,329","$10,999",Pearl White,Black,24,33,2.5L Inline-4 Gas,Automatic,FWD,Gas,[],"['0 reported accidents', 'Personal or Rental Use', 'Clean', '3']",False,https://www.truecar.com/used-cars-for-sale/listing/4T1BF1FKXHU715275/2017-toyota-camry/,https://listings-prod.tcimg.net/listings/113179/75/52/4T1BF1FKXHU715275/YCHQXA3CB3WGS632CLYAYUCLBU-cr-360.jpg
2,2017,Toyota,['Camry'],SE I4 Automatic,Long Island City,NY,"45,495","$12,888",Midnight Black Metallic,Black,24,33,2.5L Inline-4 Gas,Automatic,FWD,Gas,"['Premium Wheels', 'Backup Camera', 'Premium Seat Material', 'Bluetooth']","['2 reported accidents', 'Fleet or Mixed Use', 'Clean', '1']",False,https://www.truecar.com/used-cars-for-sale/listing/4T1BF1FK5HU704037/2017-toyota-camry/,https://listings-prod.tcimg.net/listings/58521/37/40/4T1BF1FK5HU704037/TGEI2EDLWJ2KRTGXJX4XZZPFKQ-og-360.jpg
0,2017,Ford,['Fusion'],SE FWD,Astoria,NY,"104,666","$8,499",Pearl White,Black,21,32,2.5L Inline-4 Gas,Automatic,FWD,Gas,"['Premium Wheels', 'Bluetooth', 'Backup Camera']","['0 reported accidents', 'Fleet or Mixed Use', 'Clean', '1']",False,https://www.truecar.com/used-cars-for-sale/listing/3FA6P0H70HR230999/2017-ford-fusion/,https://listings-prod.tcimg.net/listings/113179/99/09/3FA6P0H70HR230999/Y6MGPN25A4X2VJX7YFHDLJKBRI-cr-360.jpg
1,2017,Mercedes-Benz,['E-Class'],E 300 Luxury 4MATIC Sedan,Long Island City,NY,"53,898","$27,130",Lunar Blue Metallic,Macchiato Beige / Black,22,29,2.0L Inline-4 Gas Turbocharged,Automatic,AWD,Gas,[],"['0 reported accidents', 'Personal or Rental Use', 'Clean', '2']",False,https://www.truecar.com/used-cars-for-sale/listing/WDDZF4KB4HA135389/2017-mercedes-benz-e-class/,https://listings-prod.tcimg.net/listings/171212/89/53/WDDZF4KB4HA135389/C6G3GBUMVZH5JMZ5ECNINHPFAI-cr-360.jpg
2,2018,Nissan,['Sentra'],SV CVT,Woodside,NY,"30,281","$10,870",Super Black,Charcoal,29,37,1.8L Inline-4 Gas,Automatic,FWD,Gas,"['Premium Wheels', 'Backup Camera', 'Multi-Zone Climate Control', 'Bluetooth']","['0 reported accidents', 'Personal or Rental Use', 'Clean', '1']",False,https://www.truecar.com/used-cars-for-sale/listing/3N1AB7AP0JY266129/2018-nissan-sentra/,https://listings-prod.tcimg.net/listings/192071/29/61/3N1AB7AP0JY266129/HXH7COMSAM36BGLZCOHK5ON4WQ-cr-360.jpg
0,2019,Nissan,['Sentra'],SV CVT,Jersey City,NJ,"30,553","$12,297",Fresh Powder,Charcoal,29,37,1.8L Inline-4 Gas,Automatic,FWD,Gas,"['Premium Wheels', 'Backup Camera', 'Multi-Zone Climate Control', 'Bluetooth']","['0 reported accidents', 'Personal or Rental Use', 'Clean', '1']",False,https://www.truecar.com/used-cars-for-sale/listing/3N1AB7AP9KY315796/2019-nissan-sentra/,https://listings-prod.tcimg.net/listings/83522/96/57/3N1AB7AP9KY315796/S7JTI6JKQAL7JBQ2MXGOF5VN4I-cr-360.jpg
1,2014,Toyota,['Camry'],2014 SE I4 Automatic,Teterboro,NJ,"253,504","$4,899",Gray,Black,25,35,2.5L Inline-4 Gas,Automatic,FWD,Gas,[],"['3 reported accidents', 'Fleet or Mixed Use', 'Clean', '2']",False,https://www.truecar.com/used-cars-for-sale/listing/4T1BF1FK7EU818195/2014-toyota-camry/,https://listings-prod.tcimg.net/listings/21504/95/81/4T1BF1FK7EU818195/PEQJWBMOT4OJ2GTEF3ZZHDYY6M-cr-360.jpg
2,2016,Alfa,"['Romeo', '4C']",Spider,New York,NY,"11,199","$53,995",Rosso Alfa,Black,24,34,1.8L Inline-4 Gas Turbocharged,Manual,RWD,Gas,"['Premium Wheels', 'Bluetooth', 'Parking Sensors']","['0 reported accidents', 'Personal or Rental Use', 'Clean', '1']",False,https://www.truecar.com/used-cars-for-sale/listing/ZARBAAB41GM182070/2016-alfa-romeo-4c/,https://listings-prod.tcimg.net/listings/21460/70/20/ZARBAAB41GM182070/5RXBR5NX5PQ7B6Y367MJWKEA6U-cr-360.jpg
0,2008,Honda,['Fit'],Manual,Union City,NJ,"107,503","$3,995",Tidewater Blue Metallic,Black,28,34,1.5L Inline-4 Gas,Manual,FWD,Gas,[],"['0 reported accidents', 'Personal or Rental Use', 'Clean', '1']",False,https://www.truecar.com/used-cars-for-sale/listing/JHMGD37498S053811/2008-honda-fit/,https://listings-prod.tcimg.net/listings/24878/11/38/JHMGD37498S053811/VXDX3XMUF72ZFCECX3JCBRKG2I-cr-360.jpg
1,2003,Toyota,['Camry'],LE I4 Automatic,Teterboro,NJ,"135,042","$2,799",Gray,Gray,23,32,2.4L Inline-4 Gas,Automatic,FWD,Gas,[],"['3 reported accidents', 'Personal or Rental Use', 'Clean', '1']",False,https://www.truecar.com/used-cars-for-sale/listing/4T1BE32K93U645443/2003-toyota-camry/,https://listings-prod.tcimg.net/listings/21504/43/54/4T1BE32K93U645443/LYCHHACYOMD4V7HVOYR3MDYP6I-cr-360.jpg
2,2017,Mercedes-Benz,['GLS'],GLS 450 4MATIC,New York,NY,"11,586","$49,901",Black,Ginger Beige/Black,19,22,3.0L V-6 Gas Turbocharged,Automatic,AWD,Gas,"['Premium Wheels', 'Power Trunk/Liftgate', 'Front Heated Seats', 'Remote Engine Start', 'Lane Keep Assist', 'Bluetooth', 'Moonroof', 'Premium Seat Material', 'Third Row Seating', 'Multi-Zone Climate Control', 'Backup Camera']","['0 reported accidents', 'Personal or Rental Use', 'Clean', '1']",True,https://www.truecar.com/used-cars-for-sale/listing/4JGDF6EE4HA945753/2017-mercedes-benz-gls/,https://listings-prod.tcimg.net/listings/2441/53/57/4JGDF6EE4HA945753/F6HO63IVXHNCFYO2NKN5YYE4AA-cr-360.jpg
