state,year,manufacturer,model,price,mileage,transmission
CA,2018,Toyota,YarisiA,11995,24770,Automatic
CA,2018,Toyota,RAV4,19844,19557,Automatic
CA,2018,Toyota,Tundra,34889,26715,Automatic
CA,2019,Ram,3500,45000,4491,Automatic
CA,2019,Nissan,Rogue,19000,37219,Automatic
CA,2017,Nissan,Sentra,11990,33205,Automatic
CA,2015,Tesla,ModelS,40625,22520,Automatic
CA,2018,Ford,TransitPassengerWagon,22795,50814,Automatic
CA,2012,Toyota,Camry,13990,81360,Automatic
CA,2015,BMW,6Series,28999,44887,Automatic
CA,2017,Nissan,Sentra,11590,16012,Automatic
CA,2015,Honda,Civic,11400,39010,Automatic
CA,2008,Lexus,ES,13395,65577,Automatic
CA,2008,Toyota,Highlander,9747,119715,Automatic
CA,2017,Lexus,RX,29994,25343,Automatic
CA,2018,Audi,Q5,31594,18787,Automatic
CA,2017,Lexus,RX,37990,36160,Automatic
CA,2017,Mercedes-Benz,CClass,23580,31411,Automatic
CA,2004,Maserati,Coupe,18995,67594,Automatic
CA,2013,BMW,3Series,17999,24847,Automatic
CA,2013,Lexus,GS,16990,101243,Automatic
CA,2016,Volkswagen,eGolf,10449,27685,Automatic
CA,2018,Toyota,Corolla,11999,52007,Automatic
CA,2013,Nissan,Altima,7988,89992,Automatic
CA,2018,Audi,A4,24993,24002,Automatic
CA,2012,BMW,3Series,8999,109681,Automatic
CA,2014,Toyota,Camry,11990,78617,Automatic
CA,2019,Nissan,Versa,10990,31345,Automatic
CA,2019,Nissan,Rogue,16500,38114,Automatic
CA,2020,Kia,Sorento,21590,13295,Automatic
CA,2019,Nissan,Rogue,19000,37113,Automatic
CA,2018,Nissan,Rogue,18990,6165,Automatic
CA,2017,Porsche,Cayenne,74994,21069,Automatic
CA,2018,Audi,A4,29794,28594,Automatic
CA,2013,BMW,3Series,14990,64695,Automatic
CA,2015,Nissan,Rogue,11499,70834,Automatic
CA,2019,Nissan,Rogue,18500,43474,Automatic
CA,2012,Ford,Fusion,5000,142336,Automatic
CA,2018,Subaru,WRX,16950,72854,Manual
CA,2015,Nissan,Versa,6500,75645,Automatic
CA,2020,Mercedes-Benz,GLA,30997,8624,Automatic
CA,2018,Mercedes-Benz,EClass,44497,13020,Automatic
CA,2015,Mitsubishi,Mirage,5650,62370,Automatic
CA,2018,Porsche,Macan,44992,13388,Automatic
CA,2020,Ford,EcoSport,17995,1547,Automatic
CA,2017,Honda,Odyssey,23106,35229,Automatic
CA,2016,Toyota,Sienna,15995,113428,Automatic
CA,2017,Kia,Soul,8950,76678,Automatic
CA,2014,Jeep,Wrangler,17499,100911,Manual
CA,2016,Kia,Forte,9200,38562,Automatic
CA,2015,Volkswagen,eGolf,9893,52918,Automatic
CA,2013,Chevrolet,Volt,10990,68892,Automatic
CA,2017,Lexus,RX,31990,28727,Automatic
CA,2008,Kia,Rondo,4000,107188,Automatic
CA,2020,Kia,Optima,15700,16443,Automatic
CA,2019,Tesla,Model3,35000,16800,Automatic
CA,2012,Toyota,Corolla,7995,97000,Automatic
CA,2018,Hyundai,Elantra,11990,21381,Manual
CA,2012,Honda,Accord,12590,48180,Automatic
CA,2013,BMW,5Series,18990,82589,Automatic
CA,2014,BMW,3Series,16990,47750,Automatic
CA,2013,Chevrolet,Volt,11590,62953,Automatic
CA,2014,BMW,3Series,14959,69755,Automatic
CA,2009,Honda,CRV,5270,220400,Automatic
CA,2017,Mercedes-Benz,GLE,24295,78157,Automatic
CA,2019,Nissan,Rogue,17000,31112,Automatic
CA,2017,Honda,Accord,14995,43226,Automatic
CA,2017,Porsche,Macan,56995,27742,Automatic
CA,2011,Toyota,Prius,10990,66630,Automatic
CA,2018,Nissan,Rogue,15990,43217,Automatic
CA,2010,Ford,Fusion,7995,59203,Automatic
CA,2016,Audi,Q5,22560,30600,Automatic
CA,2011,Toyota,Camry,11990,52264,Automatic
CA,2017,Honda,Civic,16861,36619,Automatic
CA,2019,Cadillac,XTS,27394,32728,Automatic
CA,2012,Mazda,MX5Miata,10750,79751,Automatic
CA,2019,Dodge,Journey,16980,34953,Automatic
CA,2013,BMW,3Series,17990,86103,Automatic
CA,2014,Toyota,Prius,10995,82343,Automatic
CA,2012,Mercedes-Benz,SClass,24999,70851,Automatic
CA,2013,Tesla,ModelS,33590,47310,Automatic
CA,2018,Lexus,NX,26777,26425,Automatic
CA,2018,Honda,Civic,15542,22385,Automatic
CA,2002,Lexus,SC,9995,115632,Automatic
