state,year,manufacturer,model,price,mileage,transmission,url,img
CA,2018,Toyota,Camry,17988,39801,Automatic,https://www.truecar.com/used-cars-for-sale/listing/JTNB11HK9J3050411/2018-toyota-camry/,https://listings-prod.tcimg.net/listings/146965/11/04/JTNB11HK9J3050411/UOT62MUEPEG2JYX6YREBMPKZGI-cr-360.jpg
CA,2019,Nissan,Sentra,13000,31054,Automatic,https://www.truecar.com/used-cars-for-sale/listing/3N1AB7APXKY352937/2019-nissan-sentra/,https://listings-prod.tcimg.net/listings/4441/37/29/3N1AB7APXKY352937/4Q4TTSCVDVYETERSGGYVDXSG5E-cr-360.jpg
CA,2015,BMW,3Series,13995,100151,Automatic,https://www.truecar.com/used-cars-for-sale/listing/WBA3A9G52FNS66404/2015-bmw-3-series/,https://listings-prod.tcimg.net/listings/119508/04/64/WBA3A9G52FNS66404/NAIG2H455FKTZFQL2SQEDB2MLM-cr-360.jpg
CA,2018,Dodge,Challenger,23700,17928,Automatic,https://www.truecar.com/used-cars-for-sale/listing/2C3CDZAG2JH132535/2018-dodge-challenger/,https://listings-prod.tcimg.net/listings/146121/35/25/2C3CDZAG2JH132535/33U7CMZQASHIA47H4D44XXCFJY-cr-360.jpg
CA,2010,Ford,Escape,6988,98159,Automatic,https://www.truecar.com/used-cars-for-sale/listing/1FMCU0EG1AKC45222/2010-ford-escape/,https://listings-prod.tcimg.net/listings/177436/22/52/1FMCU0EG1AKC45222/LQEWVFX7DOCCLHCFHPAIAGP3MA-cr-360.jpg
CA,2018,Mercedes-Benz,EClass,32995,27915,Automatic,https://www.truecar.com/used-cars-for-sale/listing/WDDZF4JB2JA378299/2018-mercedes-benz-e-class/,https://listings-prod.tcimg.net/listings/193133/99/82/WDDZF4JB2JA378299/FTJ5PVISDGEXDD4LY3IRUI5VDE-cr-360.jpg
CA,2008,Dodge,GrandCaravan,4600,103150,Automatic,https://www.truecar.com/used-cars-for-sale/listing/1D8HN54P18B184424/2008-dodge-grand-caravan/,https://listings-prod.tcimg.net/listings/173031/24/44/1D8HN54P18B184424/PBMFB34UHVUMSA2KGYQXTYFXVQ-cr-360.jpg
CA,2013,BMW,3Series,13995,74759,Automatic,https://www.truecar.com/used-cars-for-sale/listing/WBA3B3G57DNP38572/2013-bmw-3-series/,https://listings-prod.tcimg.net/listings/87910/72/85/WBA3B3G57DNP38572/ITQRULRFP6AT34GAXIHFR62G6U-cr-360.jpg
CA,2017,BMW,3Series,18995,50446,Automatic,https://www.truecar.com/used-cars-for-sale/listing/WBA8B9G33HNU53123/2017-bmw-3-series/,https://listings-prod.tcimg.net/listings/193133/23/31/WBA8B9G33HNU53123/773UC4TJASKSGWUABEQOYPX4Q4-cr-360.jpg
CA,2017,Porsche,Cayenne,54995,15914,Automatic,https://www.truecar.com/used-cars-for-sale/listing/WP1AE2A29HLA75399/2017-porsche-cayenne/,https://listings-prod.tcimg.net/listings/5004/99/53/WP1AE2A29HLA75399/X6KCQKIEUNXDXUU5PAGTHP6324-cr-360.jpg
CA,2019,Toyota,Sienna,22988,32759,Automatic,https://www.truecar.com/used-cars-for-sale/listing/5TDKZ3DCXKS997223/2019-toyota-sienna/,https://listings-prod.tcimg.net/listings/30673/23/72/5TDKZ3DCXKS997223/ID2QRPJJB7U2HCYFBJZQGQJ2FQ-cr-360.jpg
CA,2017,Ford,Edge,18980,40530,Automatic,https://www.truecar.com/used-cars-for-sale/listing/2FMPK4J96HBC21105/2017-ford-edge/?zipcode=90077,https://listings-prod.tcimg.net/listings/172632/05/11/2FMPK4J96HBC21105/EOLLOMXB5NBDUX5C2Q6DAJH22U-cr-360.jpg
CA,2014,Ram,1500,24990,28609,Automatic,https://www.truecar.com/used-cars-for-sale/listing/1C6RR6FT8ES304732/2014-ram-1500/?zipcode=90291,https://listings-prod.tcimg.net/listings/175576/32/47/1C6RR6FT8ES304732/B2QQLEMOK3HAZF3THR454HUCSM-cr-360.jpg
CA,1999,Jeep,Wrangler,10999,139447,Manual,https://www.truecar.com/used-cars-for-sale/listing/1J4FY49S9XP435111/1999-jeep-wrangler/?sponsoredVehiclePosition=2,https://listings-prod.tcimg.net/listings/174146/11/51/1J4FY49S9XP435111/BTLPKX23EVL5G3REFTYELVS3VI-cr-360.jpg
CA,2020,Toyota,Corolla,14288,26803,Automatic,https://www.truecar.com/used-cars-for-sale/listing/5YFEPRAE2LP019708/2020-toyota-corolla/,https://listings-prod.tcimg.net/listings/30673/08/97/5YFEPRAE2LP019708/3TL77CJWJAXIVFF7CH3WUSJGV4-cr-360.jpg
CA,2020,Toyota,Corolla,14222,28051,Automatic,https://www.truecar.com/used-cars-for-sale/listing/5YFEPRAE8LP018434/2020-toyota-corolla/,https://listings-prod.tcimg.net/listings/30673/34/84/5YFEPRAE8LP018434/DOKNEU4PPTN7POFD54S42MO3SI-cr-360.jpg
CA,2019,Jeep,Compass,19688,25713,Automatic,https://www.truecar.com/used-cars-for-sale/listing/3C4NJDDB3KT712952/2019-jeep-compass/,https://listings-prod.tcimg.net/listings/30673/52/29/3C4NJDDB3KT712952/TX2MX2Q75RAWKTDGKK7FSQKKRE-cr-360.jpg
CA,2014,Toyota,Corolla,9891,88334,Automatic,https://www.truecar.com/used-cars-for-sale/listing/5YFBURHE1EP164078/2014-toyota-corolla/,https://listings-prod.tcimg.net/listings/182547/78/40/5YFBURHE1EP164078/42PHMMUELQOCIAZ5HW3DFWUXJM-cr-360.jpg
CA,2019,Nissan,Altima,14988,34092,Automatic,https://www.truecar.com/used-cars-for-sale/listing/1N4BL4BV7KC224485/2019-nissan-altima/,https://listings-prod.tcimg.net/listings/146965/85/44/1N4BL4BV7KC224485/2PNSIJMMLLJVBW5IMMMVXLKLEU-cr-360.jpg
