state,year,manufacturer,model,price,mileage,drive_type,transmission,fuel,url,img
CA,2019,Nissan,Altima,14988,35770,FWD,Automatic,Gas,https://www.truecar.com/used-cars-for-sale/listing/1N4BL4BV6KC247899/2019-nissan-altima/,https://listings-prod.tcimg.net/listings/146965/99/78/1N4BL4BV6KC247899/RE4REHMSSFT25XGYDZ3DETTMJQ-cr-360.jpg
CA,2019,Nissan,Altima,14988,37438,FWD,Automatic,Gas,https://www.truecar.com/used-cars-for-sale/listing/1N4BL4BV5KC202968/2019-nissan-altima/,https://listings-prod.tcimg.net/listings/146965/68/29/1N4BL4BV5KC202968/WH6B3NKNN3TNXPNELFRTGZDB6U-cr-360.jpg
CA,2017,Hyundai,Tucson,15000,54467,FWD,Automatic,Gas,https://www.truecar.com/used-cars-for-sale/listing/KM8J33A21HU551471/2017-hyundai-tucson/,https://listings-prod.tcimg.net/listings/213192/71/14/KM8J33A21HU551471/4HM4G2XYNUGFVOYT5PP2NVNCA4-cr-360.jpg
CA,2014,Mercedes-Benz,GLK,15452,77842,RWD,Automatic,Gas,https://www.truecar.com/used-cars-for-sale/listing/WDCGG5HB1EG278914/2014-mercedes-benz-glk/,https://listings-prod.tcimg.net/listings/176989/14/89/WDCGG5HB1EG278914/T6LR7R7Q37FG2FQT4QLFE6PP3U-cr-360.jpg
CA,2016,Volvo,S60,15078,34339,FWD,Automatic,Gas,https://www.truecar.com/used-cars-for-sale/listing/YV126MFK0G2395913/2016-volvo-s60/,https://listings-prod.tcimg.net/listings/5689/13/59/YV126MFK0G2395913/EKDKT5QXRYKEDQ2S7BMDECDLBM-cr-360.jpg
CA,2014,Toyota,Corolla,7999,103625,FWD,Automatic,Gas,https://www.truecar.com/used-cars-for-sale/listing/5YFBURHE6EP142951/2014-toyota-corolla/,https://listings-prod.tcimg.net/listings/87910/51/29/5YFBURHE6EP142951/WHC6TO4HVV63RZYAWF3HR3S4EY-cr-360.jpg
CA,2017,Porsche,Cayenne,54995,15914,AWD,Automatic,Plug-In Hybrid,https://www.truecar.com/used-cars-for-sale/listing/WP1AE2A29HLA75399/2017-porsche-cayenne/,https://listings-prod.tcimg.net/listings/5004/99/53/WP1AE2A29HLA75399/X6KCQKIEUNXDXUU5PAGTHP6324-cr-360.jpg
CA,2019,Nissan,Altima,14988,35986,FWD,Automatic,Gas,https://www.truecar.com/used-cars-for-sale/listing/1N4BL4BV7KC124824/2019-nissan-altima/,https://listings-prod.tcimg.net/listings/146965/24/48/1N4BL4BV7KC124824/MANG4CFLQFESH2DY73WY3XY6BE-cr-360.jpg
CA,2010,Toyota,Prius,6995,128406,FWD,Automatic,Hybrid,https://www.truecar.com/used-cars-for-sale/listing/JTDKN3DU9A1310992/2010-toyota-prius/,https://listings-prod.tcimg.net/listings/32157/92/09/JTDKN3DU9A1310992/BHNG2T2P7FXQI7H3FAGNPOA7ZA-cr-360.jpg
CA,2014,Lexus,GS,17995,77902,RWD,Automatic,Gas,https://www.truecar.com/used-cars-for-sale/listing/JTHBE1BLXE5042224/2014-lexus-gs/,https://listings-prod.tcimg.net/listings/127974/24/22/JTHBE1BLXE5042224/GXL466GFBG3SAL2ZAO2V34ORZA-cr-360.jpg
CA,2019,Toyota,Sienna,22988,32759,FWD,Automatic,Gas,https://www.truecar.com/used-cars-for-sale/listing/5TDKZ3DCXKS997223/2019-toyota-sienna/,https://listings-prod.tcimg.net/listings/30673/23/72/5TDKZ3DCXKS997223/ID2QRPJJB7U2HCYFBJZQGQJ2FQ-cr-360.jpg
